"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"County","Yellowstone",,"MT","Billings, MT","Billings, MT",,7.43101807802093,,,,192900,0.36420395421436,0.46875,0.0174909279419388,27.6,0.117110476365982,0.0145554681353265,79
"County","Anne Arundel",,"MD","Baltimore, MD","Baltimore-Towson, MD",,0.856327307326356,78.6312,9.3765,6.7462,311800,0.0963081861958267,3.21085733200927,0.0097722899294419,52.7,0.180401913466877,0.0666469369635987,110
"County","Chesterfield",,"VA","Richmond, VA","Richmond, VA",,1.81731684110371,76.3465,11.0342,6.2935,194900,0.257201646090535,3.23093220338983,0.0224884556182658,31.7,0.217682886241097,0.0385291644369697,96
"County","Contra Costa",,"CA","San Francisco, CA","San Francisco-Oakland-Fremont, CA",,7.68791627021884,88.964,6.1053,1.9612,473000,0.616890023399277,9.9488609948861,0.0404587737843551,53.9,0.115053018227181,0.0535509909041624,55
"County","Fairfax City",,"VA","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",,8.29686013320647,86.9764,,,464200,0.151024811218986,3.10972900932919,,4.6,0.0950166112956811,0.0384615384615385,69
"County","Grays Harbor",,"WA","Aberdeen, WA","Aberdeen, WA",,0.637488106565176,76.1082,13.4005,11.4278,116800,0.0856898029134533,4.28571428571429,,65.2,0.291054113231154,0.0714669532509404,152
"County","Hampton City",,"VA","Virginia Beach, VA","Virginia Beach-Norfolk-Newport News, VA-NC",,2.21693625118934,68.49,,,154300,0.259909031838856,7.52613240418119,0.0305314322747894,5,0.33015476004377,0.0509785353535354,104
"County","Hillsborough",,"FL","Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",,1.85537583254044,72.7642,,,156900,0.51249199231262,8.20689655172414,0.0204206500956023,116.8,0.214842618019236,0.126051769542039,97
"County","Hillsborough",,"NH","Manchester, NH","Manchester-Nashua, NH",,7.96384395813511,75.071,,,224900,0.581395348837209,7.04426463588767,0.0364161849710982,20.1,0.190297016515717,0.0301837270341207,90
"County","Indian River",,"FL","Vero Beach, FL","Sebastian-Vero Beach, FL",,2.84490960989534,68.3284,,,152900,0.393959290873276,8.98075552387741,0.0341399607586659,99,0.190685859441152,0.0994671403197158,121
