"Date","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"White","GA",,904,128600,0.00547302580140735,0.0515126737530662,0.127081507449606,-0.0164217592061685,-0.00298312497614106,"2006-11","2006-Q4",153200,-0.160574412532637,"2004-06"
2014-11-30,"Baker","FL","Jacksonville",905,121700,0,-0.00490596892886345,-0.0209171359613838,-0.031606936692371,0.00115770732764209,"2006-09","2006-Q3",167000,-0.27125748502994,"2005-01"
2014-11-30,"Lewis","NY",,906,110700,0.010958904109589,0.0423728813559322,0.0705996131528046,0.0219735938552492,0.0559935347841858,"2014-11","2014-Q4",110700,0,"2014-11"
2014-11-30,"Clay","IN","Terre Haute",907,80500,0.00499375780274657,-0.00862068965517241,0.0189873417721519,0.026302279040094,-0.0104315596929196,"2005-02","2005-Q1",90800,-0.113436123348018,"2004-06"
2014-11-30,"Somerset","MD","Salisbury",908,99700,0.00504032258064516,0.0236139630390144,0.147295742232451,-0.0398816049562161,-0.00392591718449742,"2006-03","2006-Q1",138200,-0.278581765557164,"2004-10"
2014-11-30,"Monroe","GA","Macon",909,163000,0.00369458128078818,0.0181136789506558,0.0584415584415584,-0.00555053598390476,0.0094960996988247,"2007-10","2007-Q4",186500,-0.126005361930295,"2006-06"
2014-11-30,"McNairy","TN",,910,63400,0,0.00794912559618442,0.108391608391608,0.0337677854391631,0.0182709605982259,"2014-11","2014-Q4",63400,0,"2014-11"
2014-11-30,"Hardin","TN",,911,61700,-0.0252764612954186,-0.0859259259259259,-0.113505747126437,-0.00510719336059895,0.0241531131503168,"2013-12","2013-Q4",69700,-0.114777618364419,"2013-06"
2014-11-30,"Cherokee","AL",,912,139200,-0.00854700854700855,-0.0134656272147413,0.0160583941605839,0.0245548930015307,,"2014-03","2014-Q1",153200,-0.0913838120104439,"2013-12"
2014-11-30,"Posey","IN","Evansville",913,111400,0.0027002700270027,0.0343546889507892,0.167714884696017,0.0338908685944208,0.00366340847924795,"2014-11","2014-Q4",111400,0,"2014-11"
2014-11-30,"White","TN",,914,96900,0.00103305785123967,-0.00615384615384615,0.00727650727650728,0.0115341201873684,0.0244574192902933,"2014-09","2014-Q3",97500,-0.00615384615384615,"2014-09"
2014-11-30,"Decatur","IN","Greensburg",915,99100,0.0050709939148073,0,0.0565031982942431,0.00742809117694931,-0.00819535411235028,"2005-09","2005-Q3",111600,-0.112007168458781,"2004-09"
2014-11-30,"Randolph","MO","Moberly",916,100700,0.0110441767068273,0,0.0644820295983087,0.0169127599373882,0.0358565612943129,"2014-05","2014-Q2",105000,-0.040952380952381,"2014-04"
2014-11-30,"Tillamook","OR",,917,234900,-0.000850701829008932,0.00170575692963753,0.0284588441330998,-0.0227166956850419,0.0163159777676041,"2007-06","2007-Q2",318900,-0.26340545625588,"2005-08"
2014-11-30,"Churchill","NV","Fallon",918,143400,0.0091484869809993,0.0309130122214234,0.0391304347826087,-0.0117109410331311,-0.00971151727068065,"2006-07","2006-Q3",218100,-0.342503438789546,"2004-08"
2014-11-30,"Lincoln","KY","Danville",919,90000,-0.0153172866520788,-0.00662251655629139,-0.0654205607476635,0.0410532373582402,0.015196600664751,"2014-02","2014-Q1",101300,-0.111549851924975,"2013-10"
2014-11-30,"Hickman","TN","Nashville",920,98800,0.0112589559877175,0.0466101694915254,0.0623655913978495,0.0222632180696791,0.0167241717471232,"2014-11","2014-Q4",98800,0,"2014-11"
2014-11-30,"White","IN",,921,93200,-0.00214132762312634,-0.0220356768100735,-0.0528455284552846,-0.0122012970331654,-0.00917603646007026,"2005-07","2005-Q3",104700,-0.109837631327603,"2004-01"
2014-11-30,"Fredericksburg City","VA","Washington",922,260000,0.0050251256281407,0.00347356233114628,-0.0254872563718141,0.0107209898372946,-0.0051582783382399,"2006-03","2006-Q1",340100,-0.235518965010291,"2004-08"
2014-11-30,"Scott","IN","Scottsburg",923,80500,-0.00617283950617284,-0.00124069478908189,0.124301675977654,0.0231381702928477,-0.0154888803185655,"2005-03","2005-Q1",97900,-0.177732379979571,"2004-08"
2014-11-30,"West Baton Rouge","LA","Baton Rouge",924,181100,0.0151345291479821,0.0348571428571429,0.0191333708497468,0.0209076381877364,0.0303487386361576,"2010-03","2010-Q1",185400,-0.02319309600863,"2010-03"
2014-11-30,"Fannin","GA",,925,154900,0.00912052117263844,0.0237937871777925,-0.0485257985257985,-0.0355167512418271,,"2009-08","2009-Q3",192000,-0.193229166666667,
2014-11-30,"King George","VA",,926,249200,0.00443369609028618,0.0109533468559838,0.0335960182496889,0.0157233155920358,0.00125256675892582,"2006-05","2006-Q2",310900,-0.198456095207462,"2004-12"
2014-11-30,"Wasatch","UT","Heber",927,318500,0.00473186119873817,-0.0203014457090126,0.00251809883537929,-0.0498544352233964,0.0237363565544169,"2009-06","2009-Q2",521200,-0.388910207214121,"2007-09"
2014-11-30,"Routt","CO",,928,356000,0.0036650690724556,0.00564971751412429,0.0532544378698225,-0.0252207083320186,0.00499402588750653,"2008-11","2008-Q4",559400,-0.363603861279943,"2005-10"
2014-11-30,"Limestone","TX",,929,95500,0.0148777895855473,0.0839954597048808,0.130177514792899,,,"2010-03","2010-Q1",110900,-0.138863841298467,
