"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Los Angeles","CA","Los Angeles","06","037",1.52252906976744,1.53846153846154,1.5625,1.59137577002053,1.6116035455278,1.59137577002053,1.68993020937188,1.67897918065816,1.69683257918552,1.70164492342598,1.66952054794521,1.7,1.72222222222222,1.71875,1.66388888888889,1.68461538461538,1.66666666666667,1.66511627906977,1.64654226125137,1.625,1.62308385933273,1.65,1.63926002055498,1.66666666666667,1.70842824601367,1.73560890945907,1.7037037037037,1.71650055370986,1.72284644194757,1.70238095238095,1.68269230769231,1.70124481327801,1.7430441898527,1.71323529411765,1.69689119170984,1.71121951219512,1.7258883248731,1.66300768386388,1.73370319001387,1.75320296695887,1.7402489626556,1.75219023779725,1.71969045571797,1.70565302144249,1.70196671709531,1.69082125603865,1.72711571675302,1.71714285714286,1.70642201834862,1.74978429680759,1.91538461538462,1.86,1.91836734693877,1.95729537366548,1.96213183730715,1.96428571428571,1.94753577106518,1.96581196581197
"Cook","IL","Chicago","17","031",1.26923076923077,1.3,1.32307692307692,1.325,1.3029315960912,1.31044776119403,1.41935483870968,1.41176470588235,1.46153846153846,1.47857142857143,1.37692307692308,1.4,1.41666666666667,1.43076923076923,1.46153846153846,1.5,1.47058823529412,1.57342657342657,1.59737417943107,1.575,1.5,1.475,1.59090909090909,1.67253521126761,1.66292134831461,1.64285714285714,1.57079646017699,1.6735632183908,1.69811320754717,1.70424242424242,1.76345609065156,1.75,1.73373983739837,1.73864783047427,1.76126126126126,1.7526455026455,1.85185185185185,1.88888888888889,1.92428571428571,1.82857142857143,1.89583333333333,1.94444444444444,1.89090909090909,1.9,1.78606965174129,1.8,1.82857142857143,1.6025641025641,1.5,1.57388663967611,1.71130952380952,1.79782608695652,1.93400447427293,2.13333333333333,1.72222222222222,2.06175771971496,1.96514423076923,1.62162162162162
"Harris","TX","Houston","48","201",0.769230769230769,0.780234070221066,0.796178343949044,0.803167420814479,0.805489260143198,0.800438596491228,0.929577464788732,0.921538461538461,0.916824196597353,0.919201520912547,0.921875,0.921538461538461,0.918699186991869,0.920782851817334,0.871248789932236,0.902061855670103,0.888316151202749,0.856291883842144,0.812274368231046,0.825617283950617,0.849056603773584,0.874751491053677,0.851498637602179,0.884751773049645,0.966187050359712,0.988745980707395,0.937106918238993,0.929097605893186,0.95137420718816,0.935517970401691,1.0032751091703,1.02660300136426,0.839030453697949,1.03095975232198,1.09702584105314,0.980941704035874,0.982142857142857,0.969551282051282,1.1328125,1.06647398843931,1.02470265324794,1.09611650485437,1.095947063689,1.21262458471761,1.21650211565585,1.19479606188467,1.08431237042156,1.15807759119861,1.03329506314581,1.00574712643678,1.03252452245741,0.977552498189717,0.98,0.97391304347826,1.0015243902439,1.017778922958,1.02508178844057,0.992779783393501
"Maricopa","AZ","Phoenix","04","013",0.784883720930232,0.758620689655172,0.765931372549019,0.775959367945823,0.813802083333333,0.795194508009153,0.811382113821138,0.811965811965811,0.809859154929577,0.808229243203526,0.804166666666666,0.789772727272727,0.799488327470418,0.802197802197802,0.794728434504792,0.784447476125511,0.769867549668874,0.742049469964664,0.756756756756756,0.748554913294797,0.75,0.75910931174089,0.75,0.753064798598949,0.768041237113402,0.794749403341288,0.799404170804369,0.799166666666666,0.795880149812734,0.795795795795795,0.809108527131782,0.803763440860215,0.803208556149732,0.803191489361702,0.803715670436187,0.803066989507667,0.802139037433155,0.759958071278825,0.782634376845835,0.774891774891774,0.772884283246977,0.782287822878228,0.756533700137551,0.76260370134014,0.755706354102405,0.748847926267281,0.755504935459377,0.750163078930202,0.758801141769743,0.780392156862745,0.823165340406719,0.808359621451104,0.810249307479224,0.807416267942583,0.81190798376184,0.8,0.796979865771812,0.798611111111111
"San Diego","CA","San Diego","06","073",1.80348258706468,1.72305764411027,1.72222222222222,1.7353579175705,1.76100628930818,1.74660194174757,1.66442953020134,1.67588495575221,1.6697247706422,1.6797385620915,1.5593220338983,1.5361875637105,1.55555555555555,1.5495867768595,1.52621101526211,1.52702702702703,1.52485659655832,1.52354570637119,1.515,1.47679324894515,1.48764498234997,1.52511961722488,1.51442307692308,1.53333333333333,1.55,1.56410256410256,1.53698366954851,1.53703703703704,1.55225185832969,1.56761412575366,1.54860587792012,1.55415019762846,1.57239819004525,1.58730158730159,1.5885860306644,1.58714788732394,1.59574468085106,1.57692307692308,1.59090909090909,1.60209729099913,1.58536585365854,1.57563025210084,1.58823529411765,1.59893048128342,1.57397691500525,1.5625,1.64874551971326,1.65289256198347,1.64449371766445,1.71232876712329,1.82119205298013,1.77222222222222,1.77030456852792,1.76503033645891,1.78571428571428,1.79764453961456,1.80542986425339,1.85250529287226
"Orange","CA","Los Angeles","06","059",1.575,1.57142857142857,1.58807947019867,1.59090909090909,1.59666666666667,1.59340659340659,1.58559401309635,1.58823529411765,1.59441233140655,1.59574468085106,1.59574468085106,1.59106296547055,1.59574468085106,1.60714285714286,1.59666666666667,1.58974358974359,1.59313725490196,1.59755268524813,1.59090909090909,1.57922912205567,1.57642220699109,1.6,1.63472378804961,1.65816326530612,1.66666666666667,1.66333333333333,1.66666666666667,1.69230769230769,1.69552669552669,1.71339563862928,1.71428571428571,1.72131147540984,1.7178947368421,1.70797052913597,1.72802404207363,1.72783933518005,1.74431818181818,1.72291993720565,1.75,1.75138734739179,1.74621653084982,1.73134328358209,1.74581005586592,1.75,1.7579721995094,1.75,1.84461538461538,1.83333333333333,1.82901554404145,1.85247747747748,1.89473684210526,1.87647058823529,1.88888888888889,1.895,1.90909090909091,1.9578313253012,2.06463878326996,2.0679012345679
"Kings","NY","New York","36","047",2.21802002224694,2.31241473396999,2.34933605720123,2.35714285714286,2.50391236306729,2.5,2.61538461538461,2.54545454545454,2.66106442577031,2.6,2.07142857142857,2.04207920792079,2.04545454545454,2,2,2.04545454545454,1.99300699300699,1.98412698412698,1.92307692307692,1.85714285714286,1.875,1.9,1.88888888888889,1.92307692307692,1.97674418604651,2,2.06106870229008,2.16666666666667,2.16666666666667,2.15827338129496,2.30215827338129,2.26,2.28571428571429,2.34730538922156,2.27272727272727,2.2,2.21666666666667,1.99166666666667,2.05223880597015,2.0625,2,2.0625,2.15384615384615,2.11875,2.25,2.28571428571429,2.28571428571429,2.2,2.2,2.22222222222222,2.34782608695652,2.37,2.66666666666667,2.4,2.36875,2.41428571428571,2.36406619385343,2.33333333333333
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",1.68461538461538,1.66512488436633,1.65605095541401,1.63656884875847,1.65467625899281,1.6,1.48148148148148,1.54320987654321,1.56488549618321,1.5527950310559,1.53333333333333,1.50060024009604,1.53846153846154,1.54929577464789,1.53846153846154,1.5625,1.53284671532847,1.53624579932789,1.53846153846154,1.55405405405405,1.54516640253566,1.54320987654321,1.56599552572707,1.5600624024961,1.57819225251076,1.60839160839161,1.62664601084431,1.63545454545455,1.66389351081531,1.65745856353591,1.62297128589263,1.5979381443299,1.53846153846154,1.53225806451613,1.56774916013438,1.5625,1.55,1.6,1.59090909090909,1.61987041036717,1.7089552238806,1.82608695652174,1.77232447171097,1.68855534709193,1.68231611893584,1.68421052631579,1.68501270110076,1.61764705882353,1.61507402422611,1.57333333333333,1.5625,1.65366430260047,1.69558359621451,1.75816023738872,1.74621653084982,1.73333333333333,1.71102661596958,1.7113783533765
"Dallas","TX","Dallas-Fort Worth","48","113",0.778816199376947,0.791139240506329,0.808538163001293,0.821596244131455,0.78125,0.801282051282051,0.98087431693989,0.986634264884568,0.990654205607476,0.982328482328482,0.973664409330323,0.982692307692307,0.967261904761904,0.969967532467532,0.93530787217459,0.936911487758945,0.93232044198895,0.903251706142111,0.893812070282658,0.869827586206896,0.890151515151515,0.925925925925925,1.01569713758079,1.03218645948946,1.02197802197802,1.07670720299345,1.00806451612903,1.03099173553719,1.03,1.02690582959641,1.0625,1.08343558282208,1.09494640122511,1.09841827768014,1.12611806797853,1.18012422360248,1.06761565836299,0.984215413184772,1.044,1.07659574468085,1.03942652329749,1.04293893129771,1.0384193194292,1,1.00532623169108,1.01321585903084,1.05170902716915,1.0597302504817,1.05882352941176,1.09528049866429,1.26336248785228,1.19890510948905,1.17135207496653,1.13367609254499,1.11578947368421,1.11295180722892,1.10424028268551,1.20192307692308
"Queens","NY","New York","36","081",1.51260504201681,1.74488567990373,1.06502242152466,0.88235294117647,0.941176470588235,0.910194174757281,0.989454094292803,0.987654320987654,0.982142857142857,0.966183574879227,1.52380952380952,1.63265306122449,1.69230769230769,1.69753086419753,1.63636363636364,1.57142857142857,1.5,1.39175257731959,1.6025641025641,1.66111111111111,1.68181818181818,1.7,1.66484716157205,1.90625,1.73684210526316,1.83982683982684,1.875,1.84210526315789,1.92857142857143,2,2.09003215434084,2.12666666666667,2.26666666666667,2.25303292894281,2.28571428571429,2.25,2.16666666666667,2.26277372262774,2.24416517055655,2.22222222222222,2.28571428571429,2.38805970149254,2.39285714285714,2.38562091503268,2.35714285714286,2.31818181818182,2.31818181818182,2.23076923076923,2.26666666666667,2.25,2.29411764705882,2.31267345050879,2.33333333333333,2.37041719342604,2.28571428571429,2.25150602409638,2.25,2.28571428571429
