"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Salt Lake City, UT","UT",50,1415,0.00855310049893086,0.0209235209235209,0.0114367405289492,304986
2014-11-30,"Rochester, NY","NY",51,1402,0.00646087580760948,0.0100864553314121,0.0108147080028839,287350
2014-11-30,"Tucson, AZ","AZ",52,1104,0.00181488203266788,0.00181488203266788,0.0203327171903882,283066
2014-11-30,"Honolulu, HI","HI",53,2359,0.000424088210347752,0.00382978723404255,0.0212121212121212,274603
2014-11-30,"Tulsa, OK","OK",54,1057,-0.00377002827521206,0.0192864030858245,0.0807770961145194,317192
2014-11-30,"Fresno, CA","CA",55,1195,0,0.016156462585034,0.0109983079526227,203228
2014-11-30,"Stamford, CT","CT",56,2422,0.0053964300539643,0.0193602693602694,0.031955688112484,250830
2014-11-30,"Albuquerque, NM","NM",57,1110,-0.0339425587467363,-0.0463917525773196,0.00634632819582956,259448
2014-11-30,"Albany, NY","NY",58,1543,0.0205026455026455,0.0293529019346231,-0.0171974522292994,207139
2014-11-30,"Omaha, NE","NE",59,1255,0,0.00884244372990354,0.0312243221035333,416690
2014-11-30,"New Haven, CT","CT",60,1617,0.00497203231821007,0.00434782608695652,0.0338874680306905,224724
2014-11-30,"Dayton, OH","OH",61,974,-0.00814663951120163,-0.00204918032786885,0.0417112299465241,274955
2014-11-30,"Bakersfield, CA","CA",62,1266,0.0176848874598071,0.0317848410757946,0.0301057770545159,185808
2014-11-30,"Ventura, CA","CA",63,2409,-0.00618811881188119,-0.00618811881188119,0.0277303754266212,205308
2014-11-30,"Allentown, PA","PA",64,1419,0.00566973777462792,0.0150214592274678,0.0495562130177515,241700
2014-11-30,"Baton Rouge, LA","LA",65,1324,-0.03003663003663,-0.0515759312320917,0.0729335494327391,214866
2014-11-30,"El Paso, TX","TX",66,1008,-0.00689655172413793,-0.0165853658536585,-0.00198019801980198,183193
2014-11-30,"Worcester, MA","MA",67,1465,-0.00136332651670075,0.0027378507871321,-0.0252827677977379,202196
2014-11-30,"McAllen, TX","TX",68,1032,-0.0124401913875598,-0.00578034682080925,0.0606372045220966,162135
2014-11-30,"Grand Rapids, MI","MI",69,1157,0.0078397212543554,0.0202821869488536,0.122211445198836,258924
2014-11-30,"Columbia, SC","SC",70,1090,0.00553505535055351,0.00553505535055351,0.0205992509363296,243226
2014-11-30,"Greensboro, NC","NC",71,943,0.00319148936170213,-0.0104931794333683,-0.00211640211640212,216835
2014-11-30,"Akron, OH","OH",72,1072,-0.0128913443830571,-0.0165137614678899,0.0297790585975024,227475
2014-11-30,"Sarasota, FL","FL",73,1814,0.00777777777777778,0.0330296127562642,0.0413318025258324,286291
2014-11-30,"Little Rock, AR","AR",74,992,0.00915564598168871,-0.008,-0.00100704934541793,220010
2014-11-30,"Knoxville, TN","TN",75,1052,0.010566762728146,0.0293542074363992,0.0144648023143684,262172
2014-11-30,"Springfield, MA","MA",76,1471,0.0151828847481021,0.0315568022440393,0.0514653323802716,174507
2014-11-30,"Stockton, CA","CA",77,1385,0.00289645184648805,-0.00144196106705119,0.0374531835205993,156139
2014-11-30,"Poughkeepsie, NY","NY",78,1826,0.00939745715865119,0.0440251572327044,0.0823947836395969,165608
2014-11-30,"Charleston, SC","SC",79,1407,0.00571837026447462,0.0217864923747277,0.0563063063063063,213528
2014-11-30,"Syracuse, NY","NY",80,1396,0.00503959683225342,0.0167516387472688,0.0287398673544584,174292
2014-11-30,"Toledo, OH","OH",81,940,0,-0.00634249471458774,0.0706150341685649,214787
2014-11-30,"Colorado Springs, CO","CO",82,1306,0.00771604938271605,0.0139751552795031,0.0332278481012658,198664
