"RegionName","City","State","Metro","CountyName","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Crieve Hall","Nashville","TN","Nashville","Davidson",49.1525,52.9412,62.2642,61.2903,62.5,57.1429,54.386,45.614,53.0612,51.0204,44.6429,42.6667,42.8571,50,55.3571,38.5965,42.3077,52.1739,50,55.1724,43.75,33.3333,37.5,34,29.7872,35.1351,48.4848,37.1429,46.6667,48.3871,46.1538,29.1667,25.9259,33.3333,40,34.2857,30.7692,40,37.5,30.7692,36.8421,55.5556,35.2941,38.8889,37.5,40,16.6667,5.2632,16,26.9231,18.5185,13.0435,17.6471,17.6471,13.0435
"Perry North","Pittsburgh","PA","Pittsburgh","Allegheny",39.726,56.5217,54.5455,60.8696,60.5263,52.381,47.5,31.7073,39.0244,24,22.2222,31.1111,28,31.3725,40.8163,29.3103,35.8491,33.3333,32.7586,26.3158,26.9231,25,23.3333,30.3571,34.4262,38.9831,52.6316,50.9804,53.4483,45.1613,42.1053,36.8421,39.2157,32.0755,37.2549,39.1304,31.8182,44.186,44.6809,58.1395,48.7805,46.5116,52.5,37.5,45.9459,38.2353,40,13.8889,37.1429,47.2222,58.9744,59.4595,50,59.0909,51.1628
"Fulton","Richmond","VA","Richmond","Richmond City",59.1837,46.9388,44.4444,46.1538,36.7347,45.098,45.6522,44.6809,39.2157,35.1852,24.5283,37.2549,42.1053,47.3684,41.6667,30.6452,47.1698,42.5532,46.5116,39.4737,27.027,31.4286,30.2326,31.7073,34.6154,39.2857,35.2941,40,37.8378,43.75,50,29.6296,20,25,51.6129,47.0588,45.7143,51.4286,45.4545,45.4545,51.7241,25,22.2222,36,35.4839,21.0526,30.7692,13.8889,15.7895,25,30.5556,38.2353,31.0345,45.8333,44.4444
"Norkirk","Kirkland","WA","Seattle","King",40,47.0588,42.8571,49.5146,43.5644,40,37.3494,33.6957,42.8571,35.6164,32.4675,42.3729,38.8889,36.6667,39.1304,27.1605,35.1351,45.2055,41.791,31.6667,36.5854,26.8293,28.125,12.5,7.8947,17.9487,35.7143,41.4634,40,33.3333,27.027,26.9231,36,14.2857,24.2424,23.3333,13.1579,10.8696,13.9535,20,20,16.6667,21.2766,30.5556,27.7778,21.9512,16.2791,5.4545,11.6667,19.5652,31.8182,30.7692,36.8421,36.3636,36.3636
"Tobin Hill","San Antonio","TX","San Antonio","Bexar",39.2857,50,48.5714,41.4634,39.3939,37.1429,25,20,25.9259,20.8333,13.7931,17.6471,22.8571,38.8889,36.3636,40,37.5,38.0952,30.4348,16.6667,8.3333,31.5789,19.0476,36.3636,41.6667,45,41.6667,33.3333,33.3333,57.1429,53.8462,33.3333,,21.4286,10.5263,12.5,20,26.3158,29.4118,64.7059,62.5,35.2941,25,21.0526,15,14.2857,13.0435,,11.1111,20,29.4118,19.2308,18.1818,10.7143,10.7143
"Cahuenga Pass","Los Angeles","CA","Los Angeles","Los Angeles",35.3535,39.1304,42.3913,41.9355,53.125,52,42.1569,46.9388,39.5833,35.4167,30.3922,39.3617,43.0108,45.7447,52.381,42.8571,42.3529,37.3494,34.5679,35.7143,30.9859,37.5,35.6164,36.2319,32.9114,40.2174,45.2381,47.0588,38.4615,31.8182,34.4828,34.0426,23.5294,29.6296,33.3333,33.3333,33.3333,33.3333,32.0755,40,39.2857,40,38.3333,41.8605,35.7143,37.7778,42.2222,16.1765,30,30.5085,38.9831,35.5932,46.7742,45.3125,40.678
"Arrowhead","Jacksonville","FL","Jacksonville","Duval",42.2535,52.459,50.7042,52.8571,52.2388,56.25,49.2063,47.7612,53.9683,48.4375,42.6471,37.2881,37.5,42.1053,50.9804,45,45.6522,40,42,44.4444,34.8837,26.5306,15.5556,26,33.3333,41.4634,43.9024,37.1429,33.3333,29.0323,31.8182,36.3636,31.5789,33.3333,26.9231,33.3333,15.3846,17.6471,33.3333,40.9091,38.0952,29.1667,41.6667,37.5,58.6207,50,58.0645,20.5882,32.3529,32.3529,42.4242,41.3793,38.4615,50,32.4324
"Park of the Canals","Mesa","AZ","Phoenix","Maricopa",42.4242,40,29.2683,40.9091,47.2727,46.6667,60.9756,63.1579,41.8605,53.6585,44.6809,51.1628,42.5,34.8837,28.2609,23.2558,19.0476,10.6383,6.1224,7.3171,6.25,6.25,3.2258,10,17.6471,14.2857,20,20,22.5806,22.2222,13.6364,18.1818,33.3333,28,41.6667,29.1667,8.6957,6.25,18.1818,21.7391,20,35.2941,21.0526,26.3158,39.1304,40.9091,48.2759,24.2424,40,38.4615,34.4828,42.3077,36,50,50
"Downtown","Oakland","CA","San Francisco","Alameda",15.7895,23.5294,41.6667,,,23.0769,21.0526,31.25,33.3333,36.8421,44.4444,38.8889,46.1538,50,54.5455,36.3636,41.6667,33.3333,50,54.5455,,45.4545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West Beverly","Chicago","IL","Chicago","Cook",30.4348,36.3636,47.619,52.1739,52.381,50,40.9091,30,41.1765,50,35,30.7692,34.7826,34.4828,44.8276,37.5,44.8276,40.7407,34.4828,30.7692,34.6154,33.3333,38.0952,52.9412,50,45.8333,50,52.1739,57.8947,57.1429,47.3684,36.3636,41.6667,44.4444,53.8462,50,45.1613,35.4839,46.6667,37.5,37.5,46.6667,26.6667,,,,,23.5294,33.3333,38.0952,47.619,47.3684,57.8947,60,53.3333
"Hillcrest","Boise","ID","Boise City","Ada",49.2754,44.9275,42.8571,43.75,33.8235,36.2319,36.9231,34.9206,40.4255,38,32.6923,45.6522,44.7368,39.1304,36.5385,28.8136,39.5833,46.1538,40,35.5556,32.4324,32.2581,30.303,22.2222,16.2162,23.0769,29.4118,35.1351,38.4615,36.8421,36.3636,36.6667,39.2857,37.931,39.1304,20,28.5714,52.1739,46.4286,55.1724,54.1667,44,34.6154,26.3158,30,35.2941,29.1667,36,39.3939,54.2857,46.1538,45.9459,45.4545,44.4444,74.1935
"Walnut Park East","Saint Louis","MO","St. Louis","Saint Louis City",28.5714,41.1765,35,36,31.0345,39.2857,50,43.4783,57.1429,30,27.5862,31.0345,40,45,55.5556,31.8182,34.7826,41.6667,42.1053,47.0588,46.1538,33.3333,20,21.7391,50,45.8333,47.3684,35.2941,40,46.6667,50,,,25,15.3846,18.75,17.6471,16.6667,16.6667,26.6667,30.7692,21.4286,17.6471,18.1818,21.7391,36.8421,38.8889,,23.0769,,,,,,18.1818
"Mission Hills","Henderson","NV","Las Vegas","Clark",15.7303,17.5258,28.2828,31.0924,41.1215,42.1053,37.7953,36.0294,45.6,34.3511,32.1918,36.7347,31.3333,29.8137,26.9504,23.8095,25.6,30.5785,29.927,28.7879,31.5789,22.1374,17.2131,15,11.5385,11.3636,9.7222,7.5949,2.9851,1.4706,6.6667,10.7143,10.3448,14.2857,12.069,12.7273,10,8.4746,9.8592,14.0845,23.2143,23.4043,18.3673,21.9512,17.7778,20.8333,27.0833,5,11.4286,17.5,12.069,25.9259,35.8491,35.0877,35.4839
"Isle of Palms","Jacksonville","FL","Jacksonville","Duval",49.3506,50,53.7313,53.0303,51.5625,48.2143,41.9355,42.4242,38.6667,35.0649,32.5301,45.5882,50,52.9412,45.4545,43.0769,38.9831,47.9167,45.6522,47.3684,42.8571,50,43.5897,37.5,33.3333,30.1887,42.8571,36.1111,36.5854,40,37.5,41.9355,32,26.9231,27.5862,26.9231,41.6667,29.1667,32.1429,37.5,34.6154,34.6154,40.7407,43.3333,32.2581,38.2353,46.1538,23.2558,29.6296,44.8276,50,55.1724,67.2727,68.75,66.6667
"Carter Riverside","Fort Worth","TX","Dallas-Fort Worth","Tarrant",,,,,,,,,,,,,,,,,30.4348,26.6667,29.4118,26.6667,13.3333,33.3333,33.3333,33.3333,40,30,31.5789,25,28.5714,20,18.75,11.7647,15.3846,30.7692,16.6667,23.0769,23.5294,23.8095,28.5714,33.3333,33.3333,44.4444,47.0588,47.3684,31.25,21.4286,18.75,,26.6667,41.6667,30.7692,36.3636,50,,
"Closeburn-Glenkirk","Charlotte","NC","Charlotte","Mecklenburg",43.5294,45.3488,45.9184,56.9231,48.1013,47.3684,42.4242,34.3284,42.623,36.6667,42.1053,45.0704,44,43.5897,47.3684,39.2857,45.5696,46.6667,40.9091,35.4839,38.9831,33.9623,33.3333,33.3333,40,41.3793,37.2881,33.3333,37.7049,34.4828,41.3043,34.0909,26.6667,27.0833,37.7358,37.7049,29.3103,20.8333,31.8182,39.1304,45.4545,48.8372,42.8571,44.1176,33.3333,36.1111,28.2609,24.5283,30.6452,45,47.3684,48.2143,43.75,37.7778,38.7097
