"Date","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"Schirm Farm","OH","Columbus","Franklin","Columbus",3709,110400,0.00363636363636364,0.0137741046831956,0.0687318489835431,-0.0016225071973972,-0.015602151192513,"2006-05","2006-Q2",135600,-0.185840707964602,"1998-05"
2014-11-30,"Clam Bayou","FL","Tampa","Pinellas","Saint Petersburg",3710,89900,0.00897867564534231,0.0215909090909091,0.10171568627451,-0.00395703776823597,-0.0291116816007291,"2006-09","2006-Q3",174500,-0.484813753581662,"2003-06"
2014-11-30,"Avalon","CA","Bakersfield","Kern","Bakersfield",3711,298500,0.000670465973851827,-0.00267290344136318,0.0289555325749741,0.0540717751095088,-0.00910786994812185,"2006-03","2006-Q1",432500,-0.309826589595376,"2004-09"
2014-11-30,"Rosemont East","MD","Baltimore","Baltimore City","Baltimore",3712,135600,-0.00367376928728876,0.000738007380073801,0.0319634703196347,-0.0237288831497557,0.0167912029579493,"2007-06","2007-Q2",171000,-0.207017543859649,"2005-08"
2014-11-30,"Arlington","PA","Pittsburgh","Allegheny","Pittsburgh",3713,42900,-0.0092378752886836,-0.0381165919282511,-0.1875,-0.0134276915435912,0.015180092194979,"2013-11","2013-Q4",52800,-0.1875,"2008-06"
2014-11-30,"Woodland Heights","IA","Des Moines","Polk","Des Moines",3714,95900,0.00524109014675052,0.0116033755274262,-0.0224260958205912,-0.00794074466994954,0.00704321757557036,"2008-10","2008-Q4",104200,-0.0796545105566219,"2006-07"
2014-11-30,"Adams Park","GA","Atlanta","Fulton","Atlanta",3715,75200,0.0121130551816958,0.0458970792767733,0.25963149078727,0.00873495136380287,-0.0513525552291921,"2007-01","2007-Q1",141300,-0.467799009200283,"1998-12"
2014-11-30,"Brookhollow","OH","Columbus","Franklin","Columbus",3716,152700,-0.00261267145656434,0.00131147540983607,0.0268997982515131,0.00478300029331113,0.000262329634749259,"2005-05","2005-Q2",156200,-0.0224071702944942,"2004-12"
2014-11-30,"Barnaby Woods","DC","Washington","District of Columbia","Washington",3717,1020900,-0.000293772032902468,0.00432857845548451,0.00849550528499457,0.0327440118097946,0.019695239486311,"2014-02","2014-Q1",1029300,-0.00816088603905567,"2014-01"
2014-11-30,"Oak Hills","PA","Pittsburgh","Butler","Butler Township",3718,192300,0.00470219435736677,0.023961661341853,0.164043583535109,0.0265328229974584,0.0248121800665311,"2014-11","2014-Q4",192300,0,"2014-11"
2014-11-30,"North Bellevue","WA","Seattle","King","Bellevue",3719,816800,0.00827058387853351,0.0307925290257446,0.0761528326745718,0.060682258629611,0.0454700817674698,"2007-07","2007-Q3",817600,-0.000978473581213307,"2007-07"
2014-11-30,"Waunona","WI","Madison","Dane","Town of Madison",3720,185800,0.00323974082073434,0.00053850296176629,0.0345211581291759,0.00524848431287328,0.00815854310234054,"2007-05","2007-Q2",186500,-0.00375335120643432,"2007-03"
2014-11-30,"Osceola Forest","FL","Jacksonville","Duval","Jacksonville",3721,90300,0,-0.00441014332965821,0.0711743772241993,-0.0566946666735346,-0.0267293996913368,"2006-12","2006-Q4",163500,-0.447706422018349,"2001-12"
2014-11-30,"Northmoor","OH","Columbus","Franklin","Columbus",3722,319500,0.00408548082966688,0.0263411500160617,0.134185303514377,0.0419961205801829,0.0270733038269679,"2014-11","2014-Q4",319500,0,"2014-11"
2014-11-30,"Rosemont North","FL","Orlando","Orange","Orlando",3723,121200,0.00831946755407654,0.0376712328767123,0.28525980911983,0.0182888767509661,-0.0193139733058159,"2006-06","2006-Q2",222600,-0.455525606469003,"2003-08"
2014-11-30,"Samarkand","CA","Santa Barbara","Santa Barbara","Santa Barbara",3724,960900,0.00586203286925573,0.0193062480110321,0.0560501153972964,0.0265264018984035,-0.00504006541174074,"2006-01","2006-Q1",1142500,-0.158949671772429,"2004-09"
2014-11-30,"Brimhall Estates","CA","Bakersfield","Kern","Bakersfield",3725,435400,-0.000688547165480835,-0.0173775671406003,-0.00865209471766849,0.0379012251910436,-0.0125276591595425,"2006-05","2006-Q2",637000,-0.316483516483516,"2004-06"
2014-11-30,"Friendship Heights","DC","Washington","District of Columbia","Washington",3726,995100,0.00494849525348414,0.0187346437346437,0.039594651065608,0.03999991453567,0.0256577031329099,"2014-11","2014-Q4",995100,0,"2014-11"
2014-11-30,"Highland Oaks","FL","Tampa","Pinellas","Saint Petersburg",3727,48200,0.0168776371308017,0.0321199143468951,0.0524017467248908,-0.0339969819825452,-0.04235218423747,"2006-11","2006-Q4",106500,-0.547417840375587,"2002-05"
2014-11-30,"Sunnybrae","CA","San Francisco","San Mateo","San Mateo",3728,912400,0.00895720446754396,0.0263217097862767,0.0781046910079168,0.0787396933446058,0.0256443772165282,"2014-11","2014-Q4",912400,0,"2014-11"
2014-11-30,"Fruit Valley","WA","Portland","Clark","Vancouver",3729,148400,0.0150478796169631,0.0480225988700565,0.145061728395062,0.0215405586197381,0.0143446324269128,"2007-06","2007-Q2",176900,-0.161107970604862,"2005-08"
2014-11-30,"LeClaire Courts","IL","Chicago","Cook","Chicago",3730,135000,0.0204081632653061,0.0497667185069984,0.0522213561964147,-0.0367569734714223,-0.0330874516542511,"2007-07","2007-Q3",231200,-0.416089965397924,"2002-10"
2014-11-30,"Eken Park","WI","Madison","Dane","Town of Madison",3731,144700,0.00346740638002774,0.00416377515614157,0.0320970042796006,-0.00110208285495139,0.00337917176799762,"2007-10","2007-Q4",159200,-0.0910804020100503,"2005-06"
2014-11-30,"Clayton Crest","WI","Milwaukee","Milwaukee","Milwaukee",3732,170100,-0.00409836065573771,-0.0139130434782609,-0.05078125,-0.0303108658331065,-0.0140225379033225,"2006-04","2006-Q2",223000,-0.237219730941704,"2002-04"
2014-11-30,"Brookside Village","OH","Columbus","Franklin","Columbus",3733,102400,-0.0134874759152216,-0.069936421435059,-0.138772077375946,-0.0195074398838488,-0.0152418971523625,"2006-08","2006-Q3",123600,-0.171521035598705,"2002-08"
2014-11-30,"Northwest","WA","Olympia","Thurston","Olympia",3734,206100,0.00194457948468644,0.0078239608801956,0.0132743362831858,-0.0138632504058287,0.0144811389808357,"2007-03","2007-Q1",244000,-0.155327868852459,"2005-07"
2014-11-30,"Weweantic","MA","Boston","Plymouth","Wareham",3735,221800,0.0118613138686131,0.0325884543761639,0.117943548387097,0.00438533182326095,-0.0176750350553271,"2005-06","2005-Q2",278600,-0.203876525484566,"2003-10"
2014-11-30,"Dawes","AL","Mobile","Mobile","Mobile",3736,180300,0.00445682451253482,0.0140607424071991,0.0440069484655472,-0.0120839426750736,0.0084800744207969,"2007-12","2007-Q4",227900,-0.208863536638877,"2005-08"
2014-11-30,"Lyons Park","AL","Mobile","Mobile","Mobile",3737,125400,0.0032,0.00561347233360064,-0.0110410094637224,-0.0345467057175515,0.016661616218657,"2009-12","2009-Q4",149500,-0.161204013377926,"2007-03"
2014-11-30,"Villages of Larchwood","TN","Nashville","Davidson","Nashville",3738,147700,0.00544588155207624,0.0179186767746382,0.0726216412490922,0.012799441084987,0.0127688143365745,"2007-03","2007-Q1",148800,-0.00739247311827957,"2007-01"
2014-11-30,"Fairview","OH","Dayton","Montgomery","Dayton",3739,36100,-0.00550964187327824,-0.0574412532637076,-0.173913043478261,-0.0671383053553176,-0.0642088828710365,"2005-02","2005-Q1",70800,-0.490112994350282,
2014-11-30,"Central College","OH","Columbus","Franklin","Columbus",3740,79700,-0.011166253101737,-0.0860091743119266,-0.214778325123153,-0.0767307398596326,-0.0532813985170268,"2005-05","2005-Q2",139500,-0.428673835125448,
2014-11-30,"Dover Shores West","FL","Orlando","Orange","Orlando",3741,192900,0,0.000518672199170124,0.115673799884326,0.0249945798627629,0.00440774544338995,"2006-03","2006-Q1",279500,-0.309838998211091,"2005-02"
2014-11-30,"Little Italy","CA","San Diego","San Diego","San Diego",3742,404600,0.00347222222222222,0.00897755610972569,-0.0109997555609875,0.0494145228445839,-0.0153316253614034,"2005-11","2005-Q4",477100,-0.151959756864389,
2014-11-30,"Hawthorne","KY","Louisville/Jefferson County","Jefferson","Louisville",3743,152900,0.000654450261780105,0.00393959290873276,-0.0248724489795918,0.0231012682379745,0.0208424249769987,"2014-02","2014-Q1",158500,-0.0353312302839117,"2013-06"
2014-11-30,"Hollins Market","MD","Baltimore","Baltimore City","Baltimore",3744,84200,0,-0.00707547169811321,0.0836550836550836,-0.0419116560073518,0.0304163713512611,"2006-12","2006-Q4",112900,-0.254207263064659,"2005-07"
2014-11-30,"Fairfax","FL","Jacksonville","Duval","Jacksonville",3745,183400,-0.0107874865156419,-0.0171489817792069,0.108827085852479,0.0181811755588044,0.0111198067989196,"2006-10","2006-Q4",226800,-0.191358024691358,"2005-05"
2014-11-30,"29th and Chase","FL","Jacksonville","Duval","Jacksonville",3746,42700,0.0364077669902913,0.120734908136483,0.278443113772455,-0.0412100967250828,-0.0474081962422506,"2007-06","2007-Q2",81200,-0.474137931034483,"1999-02"
2014-11-30,"Oak Knoll-Golf Links","CA","San Francisco","Alameda","Oakland",3747,482000,0.00563321510536199,0.0164487557992408,0.272439281942978,0.0944855444913091,-0.000826109568435207,"2006-11","2006-Q4",582800,-0.172958133150309,"2004-11"
2014-11-30,"Landings","FL","Miami-Fort Lauderdale","Broward","Fort Lauderdale",3748,728500,0.0127902127067983,0.0411604973560097,0.0803796529734539,0.0461426442302917,-0.00535691535252747,"2006-03","2006-Q1",1004600,-0.274835755524587,"2004-10"
2014-11-30,"Mill Hill","MD","Baltimore","Baltimore City","Baltimore",3749,42300,-0.013986013986014,-0.00235849056603774,0.0958549222797927,-0.0579084632503979,-0.00117441149196695,"2006-12","2006-Q4",63300,-0.33175355450237,"2004-10"
2014-11-30,"Northwest Hillsdale","CA","San Francisco","San Mateo","San Mateo",3750,1169100,0.0101961462023676,0.0275092283353841,0.0831017231795442,0.0768968371945491,0.0358778634413948,"2014-11","2014-Q4",1169100,0,"2014-11"
2014-11-30,"South Park","OH","Dayton","Montgomery","Dayton",3751,63900,0.00156739811912226,-0.00467289719626168,0.00788643533123028,0.00933237702572209,-0.0132257686129229,"2007-02","2007-Q1",78100,-0.181818181818182,"2001-03"
2014-11-30,"Louisville Heights","OK","Tulsa","Tulsa","Tulsa",3752,49200,0.00203665987780041,0.00203665987780041,0.0379746835443038,0.00579029613311222,0.00784877113126403,"2014-11","2014-Q4",49200,0,"2014-11"
2014-11-30,"Boulevard Manor","VA","Washington","Arlington","Arlington",3753,767500,0.00313684485688145,0.0227878464818763,0.113448425939359,0.0457417623178289,0.0282121959625374,"2014-11","2014-Q4",767500,0,"2014-11"
2014-11-30,"Biltmore","FL","Jacksonville","Duval","Jacksonville",3754,106600,0.00851466414380322,0.0339476236663434,0.211363636363636,-0.0235661212687879,0.0112683854167857,"2006-12","2006-Q4",125300,-0.149241819632881,"2005-10"
2014-11-30,"Warrenton-Harmitage Hills-Pinehurst","KY","Lexington","Fayette","Lexington",3755,121600,0.00578990901571547,0.0141784820683903,0.0592334494773519,0.00671201207673544,0.00656305296986859,"2014-11","2014-Q4",121600,0,"2014-11"
2014-11-30,"Glenoake Canyon","CA","Los Angeles","Los Angeles","Glendale",3756,816900,0.0128952262864228,0.0289709031364152,0.0788431061806656,0.039453241109159,0.0140668699257944,"2006-08","2006-Q3",851800,-0.040972059168819,"2005-11"
2014-11-30,"Mount Davidson Manor","CA","San Francisco","San Francisco","San Francisco",3757,1146900,0.0158547387068202,0.0433951965065502,0.143811708387354,0.0723242896129626,0.0341583949617541,"2014-11","2014-Q4",1146900,0,"2014-11"
2014-11-30,"Bel Air","CA","Santa Barbara","Santa Barbara","Santa Barbara",3758,1152600,0.011141328186683,0.0410983650980038,0.207163803937997,0.0349058045978639,0.00352027149187251,"2007-06","2007-Q2",1226600,-0.0603293657263982,"2005-04"
2014-11-30,"Atlantic Station","GA","Atlanta","Fulton","Atlanta",3759,203400,-0.00732064421669107,0.000491883915395967,0.0324873096446701,-0.00532202456852759,,"2006-05","2006-Q2",344900,-0.410263844592636,
2014-11-30,"Pinewood","FL","Miami-Fort Lauderdale","Palm Beach","West Palm Beach",3760,158300,0.00892288081580625,0.0393959290873276,0.0339647289353364,0.00962090642549041,-0.0328165329641846,"2006-03","2006-Q1",318300,-0.502670436694942,"2003-07"
2014-11-30,"Cypress Shores","AL","Mobile","Mobile","Mobile",3761,138900,0.000720461095100865,0.00288808664259928,-0.045360824742268,-0.0514663645703135,0.00123221199698831,"2007-12","2007-Q4",181800,-0.235973597359736,"2004-12"
2014-11-30,"Southeast Crossing","CO","Denver","Arapahoe","Aurora",3762,223100,0.0122504537205082,0.0410639290713952,0.111609367214748,0.0492862848135223,0.00282234369444812,"2014-11","2014-Q4",223100,0,"2014-11"
2014-11-30,"Miami Chapel","OH","Dayton","Montgomery","Dayton",3763,51500,0.0238568588469185,0.0980810234541578,0.109913793103448,0.00234652561463866,-0.0231618239259697,"2007-07","2007-Q3",68600,-0.249271137026239,"2000-02"
2014-11-30,"Di Grado","AL","Mobile","Mobile","Mobile",3764,229400,0.00174672489082969,0.00569925471284524,0.011910013233348,-0.0305528460741086,0.00382829831441489,"2008-04","2008-Q2",321300,-0.286025521319639,"2005-03"
2014-11-30,"Washington Heights","NC","Charlotte","Mecklenburg","Charlotte",3765,64000,-0.0015600624024961,0.0110584518167457,0.0958904109589041,-0.00492634806525849,-0.00763784700961845,"2007-10","2007-Q4",77600,-0.175257731958763,"2000-02"
2014-11-30,"San Mateo","FL","Jacksonville","Duval","Jacksonville",3766,99300,0.00100806451612903,0,0.00201816347124117,-0.026720094925289,-0.00872992278361828,"2007-05","2007-Q2",158000,-0.371518987341772,"2003-11"
2014-11-30,"McClellan Park","WI","Madison","Dane","Town of Madison",3767,222100,0.00361500225937641,0.0150822669104205,0.0973320158102767,0.0155588371600888,0.00770039010082635,"2007-05","2007-Q2",222400,-0.00134892086330935,"2007-05"
2014-11-30,"Neshota","AL","Mobile","Mobile","Mobile",3768,74000,0.00543478260869565,0.00954979536152797,0.0601719197707736,-0.034936498637922,-0.000269869275650758,"2007-04","2007-Q2",96100,-0.22996878251821,"2004-11"
2014-11-30,"Story Hill","WI","Milwaukee","Milwaukee","Milwaukee",3769,184400,-0.00700053850296177,-0.00860215053763441,0.0131868131868132,-0.0223842895396006,-0.00547158406426351,"2006-04","2006-Q2",226000,-0.184070796460177,"2003-12"
2014-11-30,"Lenox","GA","Atlanta","Fulton","Atlanta",3770,254400,0.00872323552735924,0.0560398505603985,0.19605077574048,0.0526849223852746,0.00106756237194006,"2001-06","2001-Q2",275100,-0.0752453653217012,"1999-09"
2014-11-30,"Old Saybrook Center","CT","Hartford","Middlesex","Old Saybrook",3771,367300,0.00218281036834925,0.0063013698630137,-0.0197491326394449,-0.0134350647453045,-0.0058257779690869,"2006-07","2006-Q3",420800,-0.127138783269962,"2004-08"
2014-11-30,"Holdeman","AZ","Phoenix","Maricopa","Tempe",3772,192800,0.0142030510257759,0.0489662676822633,0.0758928571428571,0.0389107754827769,0.0199762397726153,"2006-05","2006-Q2",246200,-0.216896831844029,"2005-06"
2014-11-30,"Hillsdale","AL","Mobile","Mobile","Mobile",3773,69300,-0.00144092219020173,0.00144508670520231,-0.0454545454545455,-0.0418153938638334,0.0014545708253233,"2009-07","2009-Q3",89600,-0.2265625,"2005-05"
2014-11-30,"East Arlington","MD","Baltimore","Baltimore City","Baltimore",3774,107800,-0.00736648250460405,-0.00919117647058824,0.107913669064748,-0.0307191262441389,0.0301456298386689,"2008-02","2008-Q1",136200,-0.208516886930984,"2006-08"
2014-11-30,"Crestwood","OR","Portland","Multnomah","Portland",3775,316900,0.00987890376035692,0.0362982341399608,0.0908777969018933,0.0281715805625484,0.0377374554050276,"2014-11","2014-Q4",316900,0,"2014-11"
2014-11-30,"Columbia-Tusculum","OH","Cincinnati","Hamilton","Cincinnati",3776,242400,0.01,0.0292993630573248,0.116536158452326,0.0126796237012032,0.00842186744021234,"2007-12","2007-Q4",249200,-0.0272873194221509,"2007-05"
2014-11-30,"Swillburg","NY","Rochester","Monroe","Rochester",3777,89900,0,-0.00662983425414365,0.04292343387471,0.0298633287029191,0.0378552826828715,"2014-03","2014-Q1",91300,-0.0153340635268346,"2014-02"
2014-11-30,"Pheasant Run","WI","Milwaukee","Milwaukee","Milwaukee",3778,119100,0.00168208578637511,0.0144804088586031,0.0153452685421995,-0.0416110385964422,-0.0255611657558205,"2006-08","2006-Q3",168200,-0.291914387633769,"2002-02"
2014-11-30,"Root Creet","WI","Milwaukee","Milwaukee","Milwaukee",3779,126200,-0.000791765637371338,0.00718276137270551,0.0543024227234754,-0.0276591142075409,-0.0199658576074875,"2007-05","2007-Q2",164000,-0.230487804878049,"2002-06"
2014-11-30,"Belle Isle","FL","Miami-Fort Lauderdale","Miami-Dade","Miami Beach",3780,605100,0.0197168857431749,0.0610205155181483,0.152351932965149,0.107663989636182,0.0477041292686173,"2014-11","2014-Q4",605100,0,"2014-11"
2014-11-30,"Market-Downtown","WA","Seattle","King","Kirkland",3781,1217600,0.00752999586263964,0.00611469178648157,0.0685388328214129,0.0552782510036631,0.0376730499307021,"2014-06","2014-Q2",1219500,-0.0015580155801558,"2014-05"
2014-11-30,"Parkway East","WA","Portland","Clark","Vancouver",3782,221000,0.00272232304900181,0.00959342165372316,0.0951437066402379,0.0222224547224696,0.017118008519057,"2006-08","2006-Q3",250300,-0.117059528565721,"2005-09"
2014-11-30,"Copper Hill","FL","Jacksonville","Duval","Jacksonville",3783,136800,0.0110864745011086,0.0332326283987915,0.162276975361087,-0.00546480814904726,-0.00995842902939847,"2006-11","2006-Q4",202900,-0.325776244455397,"2003-11"
2014-11-30,"Redevelopment Area","FL","Naples","Collier","Naples",3784,374700,0.0285479000823497,0.0501681614349776,0.302851182197497,0.0702853320065959,-0.000399441308798765,"2006-08","2006-Q3",544500,-0.311845730027548,"2004-11"
2014-11-30,"Green Acres","CA","San Jose","Santa Clara","Palo Alto",3785,2259300,0.0182990039212151,0.0625,0.177025266996614,0.109369340278783,0.065264750083988,"2014-11","2014-Q4",2259300,0,"2014-11"
2014-11-30,"St. Francis Wood","CA","San Francisco","San Francisco","San Francisco",3786,2386700,0.00862105396610743,0.0391414141414141,0.174268142681427,0.0823756515900858,0.0310280616419893,"2014-11","2014-Q4",2386700,0,"2014-11"
2014-11-30,"Page","MN","Minneapolis-St Paul","Hennepin","Minneapolis",3787,334400,0.00813988543864938,0.002999400119976,-0.0153121319199058,0.0102987386770683,-0.000803850841611498,"2007-03","2007-Q1",350300,-0.0453896660005709,"2004-10"
2014-11-30,"Cloverhill","TN","Nashville","Davidson","Nashville",3788,124700,0.0113544201135442,0.0357142857142857,0.102564102564103,0.0229967590505051,0.0223195014672857,"2014-11","2014-Q4",124700,0,"2014-11"
2014-11-30,"Woodland Heights","VA","Richmond","Richmond City","Richmond",3789,206100,0.00145772594752187,0.00487567040468064,0.0409090909090909,0.00254232283852862,0.0231749615097538,"2007-06","2007-Q2",208900,-0.0134035423647678,"2007-04"
2014-11-30,"Goldman Park","WI","Milwaukee","Milwaukee","Milwaukee",3790,136600,-0.00509832483612527,-0.00509832483612527,-0.0263720598717035,-0.0263349990948952,-0.0203030326935976,"2005-10","2005-Q4",178600,-0.235162374020157,"2002-09"
2014-11-30,"Malba","NY","New York","Queens","New York",3791,922800,0.00753357353422863,0.0270450751252087,0.0133977597188667,0.00663188111163859,0.026619237007669,"2006-08","2006-Q3",947000,-0.0255543822597677,"2006-04"
2014-11-30,"St. Amelian's","WI","Milwaukee","Milwaukee","Milwaukee",3792,70900,-0.00839160839160839,-0.0584329349269588,-0.140606060606061,-0.0638318447675557,-0.0495850852812123,"2006-02","2006-Q1",126800,-0.440851735015773,"1996-08"
2014-11-30,"Greenfield Lakes","AZ","Phoenix","Maricopa","Gilbert",3793,240800,0.000831255195344971,0.00542797494780793,-0.0163398692810458,0.0615855676063932,0.0111155107213403,"2005-12","2005-Q4",334000,-0.279041916167665,"2005-02"
2014-11-30,"Dominion Hills","VA","Washington","Arlington","Arlington",3794,693200,0.00318379160636758,0.0026034133641886,0.00990675990675991,0.0325895614760199,0.0245895500000948,"2014-02","2014-Q1",697400,-0.00602236879839404,"2014-01"
2014-11-30,"Mayo Meadow","OK","Tulsa","Tulsa","Tulsa",3795,115700,0.00434027777777778,0.0104803493449782,0.0229885057471264,0.0293897897811817,0.0252096422618442,"2014-11","2014-Q4",115700,0,"2014-11"
2014-11-30,"McKinley School - Columbus Park","IA","Des Moines","Polk","Des Moines",3796,80200,0.00124843945068664,0.00880503144654088,0.0308483290488432,-0.000498008215213064,0.00291399364913203,"2008-05","2008-Q2",87500,-0.0834285714285714,"2005-11"
2014-11-30,"Gililland","AZ","Phoenix","Maricopa","Tempe",3797,195700,0.0124159337816865,0.0381962864721485,0.0612798264642082,0.0295278359564146,0.0182641740329317,"2006-06","2006-Q2",253400,-0.227703235990529,"2005-05"
