"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Neighborhood","Southeast Dallas","TX","Dallas-Fort Worth-Arlington, TX",139,4,0.9857,24.2678,63,5,0.632911392405063
"Neighborhood","Southwest","TX","Dallas-Fort Worth-Arlington, TX",628,4,0.987,28.2443,55,3.63636363636364,0.632911392405063
"Neighborhood","Northeast Dallas","TX","Dallas-Fort Worth-Arlington, TX",56,4,0.9446,36.6733,55,7.27272727272727,0.632911392405063
"Neighborhood","Southeast","TX","Dallas-Fort Worth-Arlington, TX",276,4,1.0208,19.4444,49,0.454545454545455,0.632911392405063
"Neighborhood","Oak Lawn","TX","Dallas-Fort Worth-Arlington, TX",639,4,0.8669,32.1782,70.5,9.54545454545454,0.632911392405063
"Neighborhood","Wolf Creek","TX","Dallas-Fort Worth-Arlington, TX",900,4,1.0272,30.3371,66,2.27272727272727,0.632911392405063
"Neighborhood","Cedar Crest","TX","Dallas-Fort Worth-Arlington, TX",471,4,1.4164,25.3968,63,1.36363636363636,0.632911392405063
"Neighborhood","Far North","TX","Dallas-Fort Worth-Arlington, TX",111,4,0.9627,37.0438,50,5.90909090909091,0.632911392405063
"Neighborhood","North Dallas","TX","Dallas-Fort Worth-Arlington, TX",759,4,0.8699,43.2584,80,10,0.632911392405063
"Neighborhood","Sendera Ranch","TX","Dallas-Fort Worth-Arlington, TX",5419,4,0.908,36.8421,59,8.63636363636364,0.632911392405063
"Neighborhood","M Streets","TX","Dallas-Fort Worth-Arlington, TX",967,4,0.9878,30.3483,55,1.81818181818182,0.632911392405063
"Neighborhood","Heritage","TX","Dallas-Fort Worth-Arlington, TX",4537,4,0.998,28.75,60.5,2.72727272727273,0.632911392405063
"Neighborhood","Summerfields","TX","Dallas-Fort Worth-Arlington, TX",2066,4,1.0052,17.3469,55,0.909090909090909,0.632911392405063
"Neighborhood","Villages of Woodland Springs","TX","Dallas-Fort Worth-Arlington, TX",3857,4,0.9763,31.9672,55,5.45454545454545,0.632911392405063
"Neighborhood","Wedgwood","TX","Dallas-Fort Worth-Arlington, TX",2680,4,0.9969,50.4505,70,7.72727272727273,0.632911392405063
"Neighborhood","West","TX","Dallas-Fort Worth-Arlington, TX",331,4,0.9962,32.9545,57.5,4.54545454545455,0.632911392405063
"Neighborhood","East","TX","Dallas-Fort Worth-Arlington, TX",237,4,0.9756,31.4286,53,4.09090909090909,0.632911392405063
"Neighborhood","Preston Hollow","TX","Dallas-Fort Worth-Arlington, TX",286,4,0.9335,43.7198,56.5,8.18181818181818,0.632911392405063
"Neighborhood","Bluffview","TX","Dallas-Fort Worth-Arlington, TX",2855,4,0.8883,33.8843,71,9.09090909090909,0.632911392405063
"Neighborhood","Lake Highlands","TX","Dallas-Fort Worth-Arlington, TX",566,4,0.9377,33.5484,55,6.81818181818182,0.632911392405063
"Neighborhood","Bear Valley","CO","Denver-Aurora, CO",4544,20,0.9851,25,53,5.43478260869565,0.316455696202532
"Neighborhood","Capitol Hill","CO","Denver-Aurora, CO",2815,20,0.9911,28.7234,54,4.78260869565217,0.316455696202532
"Neighborhood","Fort Logan","CO","Denver-Aurora, CO",4643,20,0.986,27.7778,57,6.95652173913043,0.316455696202532
"Neighborhood","Five Points","CO","Denver-Aurora, CO",3423,20,0.9846,32.2222,60,8.47826086956522,0.316455696202532
"Neighborhood","North Aurora","CO","Denver-Aurora, CO",1987,20,1.005,25,51,1.95652173913043,0.316455696202532
"Neighborhood","Highland","CO","Denver-Aurora, CO",4600,20,0.9827,20.8696,60.5,7.17391304347826,0.316455696202532
"Neighborhood","Platt Park","CO","Denver-Aurora, CO",5245,20,0.9946,41.0256,49,4.34782608695652,0.316455696202532
"Neighborhood","Heather Gardens","CO","Denver-Aurora, CO",5265,20,0.9901,11.4286,58,3.69565217391304,0.316455696202532
