"RegionName","StateName","RegionType","CBSA Title","MSAstate","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10"
"Kentucky","KY","State",,,26,125,133.625,142.125,139.875,131,124.25,116.5,112.625,117.375,122.875,124.625,130,137.5,139.125,134.75,122.375,106.875,97.5,95.125,101.75,114.875,123.125,125.625,130.625,136,137.25,133.375,123.125,112.875,108.625,107.75,110,113.5,115.625,119.75,124.375,128.25,131,126.25,114.5,104.25,98,95.25,97.25,100,102.75,108,112.25,117.75,125.5,125.125,113.25,97.875,86.75,85,88.75,91.5,95
"Louisiana","LA","State",,,25,135.5,143.875,142.5,136.25,121.5,104.125,92,90.375,98.5,106.25,108.5,109.5,116,121,121.75,123.75,119.25,108.75,103.25,105.75,112.5,118,122.75,127.5,130,130.5,128,119.5,111.25,108,105.75,108.25,114.75,118.25,123,131.5,138,138.25,132.75,124.25,114.875,108.25,107.625,108.75,106.5,106.25,110.25,113.5,118.25,123.875,122.25,113.5,102,93.875,93,94.5,98.75,108
"Massachusetts","MA","State",,,16,169,170.25,168,157.25,134.75,116,111.25,116.5,125.25,130.5,129.25,129.5,139,151.25,155.25,140.25,113.25,98.75,102,114.25,128.875,137,139.875,147.5,159.375,167.75,163.875,141.5,114,101.5,102.25,107,112.75,115.75,117,124.25,138.5,148.5,139.25,112.75,91.25,84.25,84,87,91.25,92,92,97,107.25,111.75,101.25,87,80.25,79.5,80.75,83.25,83,76
"Maryland","MD","State",,,20,179,182.875,181,175.375,160,134.75,119.75,122.25,129.875,134.75,138.125,142.25,148.25,154.5,156.75,151.75,138.5,126.25,124.75,132,142.25,150.25,153.75,155.75,157,157.5,158,147,126.25,116.25,118,124.5,132.5,138.5,141.25,142.5,147,151.25,147.75,132.25,111.25,99.25,98,101.25,105.25,109.5,112.5,115.5,123.75,131.5,130.375,117.5,100.375,92.5,94.25,101.25,110,117
"Michigan","MI","State",,,8,136.5,139.375,140.75,137.75,129,118.5,109,102,101.25,107.5,115.5,120.25,121,120.5,120,116.25,109,104.5,105,107.25,110.625,113.75,116.625,121.25,123.25,121.75,120.5,115.75,107.75,103,102.75,106.75,112.5,115.75,119,124,127.5,129,125,114.5,105.75,100.75,97.75,98,99.5,100,101.75,107,114,118.5,117.5,109.25,96.25,87.25,86.25,90,95.25,101
"Minnesota","MN","State",,,21,150,157,159.5,154.75,139.75,126,120.75,121.25,125,129.25,133.75,136,138.25,140.75,141,136.25,122.75,110.75,106.75,109,118.25,128,132.75,136.5,138.25,136,136.5,132.5,118.5,109.25,108.75,111,111.5,109.125,108.75,113.125,121.25,130,132.25,122,106.75,97.75,94.5,93.5,94,95.5,98.25,103,110.5,118,115.5,101,89,86.25,87.25,89.75,91.5,89
"Missouri","MO","State",,,18,109,120.125,123,116.125,108.25,104.5,103.5,105.75,109.5,112,115,119.25,124.75,130.5,130.25,122,112.5,106,105,110.5,116.75,119.25,120.5,122.375,123.5,124.125,119.625,108,98.875,97,100.25,105.5,109.5,112.75,114.75,115.5,117.25,116.75,109.875,99.25,91.625,88.75,86.75,86.25,88.75,92.5,97.75,104.625,111.25,115.625,110.75,95.25,84,82.5,84,86.5,90.25,96
"Mississippi","MS","State",,,32,153,142,153.5,165.625,150.25,122.625,112.625,115.75,123.125,130.25,131,130.25,133,139.25,139.75,131.5,129.25,131.75,128,125.875,129,136.75,152,155,154,166,150.625,119.166666666667,104.25,109,121,134.5,136.5,151.25,157.875,142.25,135.125,137.25,138.25,129.625,121.25,115.375,102.75,96.75,110.5,127.5,135,143.25,141.375,132,126.375,121.875,117.75,105.25,91.125,89.625,103.125,120
"Montana","MT","State",,,42,124,127.25,125.5,122.25,119.75,113.875,107,103.375,104.25,110.75,120,127.5,134.5,131.375,117.5,108.375,101.375,92.75,87.625,92.75,103.375,109.25,114.125,118.875,126.25,136.125,131.25,111.625,93.75,84.25,79.75,83.875,95.875,101.75,99.875,104,118.25,124,112.25,94,84.25,84.75,83.875,79.625,81.125,88.5,97,107.75,113.25,110.875,104.5,92,79,71.75,72,78.75,84.5,86
"North Carolina","NC","State",,,9,167,167.75,168.25,162.5,143.75,126.75,122.125,124.75,128.625,131.5,135.75,141.75,146.75,147.25,142,134.75,129.75,128,131.25,138.25,146,152.75,155.5,154.25,154,155.25,153,141,123,115.5,119.25,123.75,127.5,131,135,139,140.5,140.75,136.25,122.25,107.25,101,101,102.75,105.25,107.75,111.75,117.25,123.5,128,122,106.25,94.5,92.75,95.5,99.25,105,112
