"RegionName","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"California",25.322154426283,29.5010534199268,34.2890313257315,35.4864262994741,36.4577951054535,36.7717808611982,35.6594271455189,34.8317569406641,34.2023524184279,31.3823659725299,27.4848803576124,31.1604327958153,32.913774305307,32.6810106027318,34.318618353996,29.7339936355485,34.1056895068868,33.9841974618047,31.7911509212518,31.5217494067484,29.5456756020697,29.5378161508255,26.2700606581556,25.8619438194091,23.9325855729414,23.6652450634383,22.4176212342937,22.4306467687961,22.4031412547386,21.6016034065453,20.907494145199,19.5966426735657,19.5408606576119,17.5705380295718,18.5142222700947,17.352886186462,17.8574301388374,19.4563028281273,21.7782599871989,25.7903407354399,28.8401155734431,30.1753034970103,28.6888599016664,28.1305867239226,28.1333120544738,27.3505009123145,27.0181411183136,11.860995175088,22.0750985465234,27.6675617724447,32.2233243587926,34.1554856519227,35.0079949464042,35.89600388967,32.1622382383168
"Texas",32.9481098062449,38.3656481901405,40.3290873860423,41.7304001304636,36.3001703236148,35.9595844460366,32.9113162980459,31.398034028472,30.7813298729896,27.5576623163424,24.539621443138,30.7208955528772,33.835917284568,32.0285590720232,34.8755930150398,31.0214003739871,35.4914218834746,33.422744164724,30.9368827993129,30.4216625736344,28.5713504138832,29.8283514881207,28.6031156771401,30.3668904042811,31.1842892554919,34.047333417519,34.2699357711554,34.0798673483487,34.5847540753888,33.9038151856739,30.4856602546343,27.9998666355482,27.2438459349979,24.4479725653319,27.0118420972189,25.745001204529,26.0596825547406,27.3036664522542,28.5797342192691,30.6664838015277,32.1969008747112,31.4545673885851,29.4010566368289,27.0533884728586,26.4242095462909,24.8559510124999,24.2865152221344,9.865505916697,19.3534990392363,25.1044074875083,30.3602734656984,31.551751293328,32.2578578886348,32.3707629891375,29.7994173167031
"New York",30.7212241639521,35.792199074629,35.3160415050539,35.2457923881302,32.6280486011002,32.5582393330063,30.740784145214,28.357733063783,26.4739748071694,23.3365936358894,21.4389638041163,30.4696969696969,33.6466748486115,35.1633034092943,37.4296221564096,33.8851974778134,36.52325542403,35.2038088993107,32.4497885249894,31.3610267338857,28.3430815166264,29.944089523224,28.6057018227138,30.3722445316187,31.5267953620611,34.6285011879867,34.9608212065639,34.4956443280447,34.0766344551268,32.0139117515469,29.3932925215673,26.365748357313,25.1988893395314,22.7475197408382,26.5269837527749,25.9404599556557,26.6533048438079,29.0605668249172,30.3699725946226,32.1335924352167,33.5645130797321,33.0906867096723,29.636354466132,27.9063115016705,25.4453306364493,21.7062495977344,23.7949459032914,10.5582096831001,20.5479679521773,26.7729578631328,32.9643159086921,34.5331679499983,34.7393082505448,34.9957064535306,31.9750107712193
"Florida",29.0556398608393,32.8339374277416,34.1886510824041,35.1591217836023,32.949881183841,33.0863815452738,31.9402806986144,31.5972581288502,30.7441098145666,26.7440021687073,24.7253720373166,27.3122013687806,29.5256784097299,28.1722732512525,27.8592231370972,24.4885758419038,26.8337381320379,25.9528272659279,25.6615168800859,26.3446744287706,26.0288214304455,28.226507749757,26.9852870468314,28.2117827420061,27.3911507722404,27.5657659802404,25.7642139009896,24.6421255450765,25.6352762153432,24.6843210075892,24.160642700905,23.4419275545389,25.3516826147726,24.572997360681,26.8246785430778,25.1983798474342,25.0153914672325,24.2464487297983,23.5680875072801,24.5963026831254,26.4172512088104,28.325735883633,27.6006185847027,28.6552508681595,30.3997115752163,31.6523934328515,32.6073739704008,12.555055963996,22.0900459612907,26.7964047957342,32.0923444229317,32.8165318833501,32.3683553780883,33.26203441516,31.7493160646881
"Illinois",39.2327674048135,45.3131733683941,45.9802067484749,44.6612748180431,41.8036392428263,40.7092820276428,37.7619220381343,36.9105731347721,36.6057731377443,34.014561041588,30.8886344621075,38.0419524961338,39.9955385240481,41.0974559686888,43.0218140803609,39.7511342354978,42.7257058437294,41.8232090490155,39.3716346817617,38.4218093240904,35.6177495309927,38.6359288310694,36.6076041147414,38.0236492699253,37.489186660311,39.6134169125735,39.0512585894468,40.0860954070132,41.1367959318349,40.0189668080858,35.6994431891542,33.5622900271526,33.5222276502198,31.0269872190811,33.5947697834502,31.7656154025374,31.4025660040023,32.7865585075638,34.3532470723118,36.1961337092227,38.1572075208913,39.3049280293406,36.589458783776,34.4795398355113,33.5511262184718,31.7105856752381,32.0424242424242,15.1865683620292,27.4993678887484,34.7921075988256,40.7675739181515,44.0377080119945,45.2732310231671,45.887631915574,43.6947516761327
"Pennsylvania",34.5730512522197,42.0667651002155,42.4499812819766,41.5412213675864,37.0426955843034,36.699919657204,33.9660031706887,31.1912607773213,30.7321648612362,27.2464826698666,25.4507209116772,34.5325179241596,36.7022411953041,38.0143680131678,40.3489110867953,35.8462793651327,40.5170080303167,38.9146285186894,36.5126169549191,34.5101150337167,31.5569620253164,34.6041055718475,33.098286508648,35.2552448266704,36.4447600815167,39.0572966447004,39.0076063203899,39.4753570369114,40.1971049535302,39.2972830039003,35.17184783665,32.725819538128,32.4774620563733,30.3792400185178,34.7611532482216,33.1918895618975,33.0472192636217,34.5863663743376,36.3452306407848,38.8623602875583,39.6138352248115,40.2607253930928,36.7282112368473,33.2418935077723,34.9048780185911,32.5595554231382,33.0144055041926,14.8178952897916,27.6181439386125,34.8078215765553,41.0207374648897,43.1684686299105,42.9992864106455,43.3363130307586,41.8002332915712
"Ohio",33.4248608534322,43.2255487466266,44.9485696837846,44.5107787994548,39.6670347405079,40.3179008452125,36.5754988077526,34.3294995401514,34.206160361501,31.0583641594739,28.3266443088313,34.8597531050624,38.511400975804,39.3525759514668,41.387313548788,36.3085577277757,40.9280873304397,38.5712664899487,36.0134948170537,34.2130131145273,32.5915024468454,35.6991911389637,33.4384677797204,34.8306770630873,35.5716587991907,38.6403371139104,38.0491870661308,38.270525286232,39.0310971891775,38.0974173758163,35.1412316098147,32.8235046039221,32.516408222142,30.8769134467649,33.4762879026335,32.1567541020765,31.9789879931389,33.7625628140703,35.288160342919,37.7190214024383,39.060971633518,35.7457926167209,37.0680190306896,35.2568520772535,33.3969118982742,30.878986723638,30.4322454253678,12.9782772128358,24.7531213830127,31.466242974697,37.6423871114136,39.9544237452287,40.2038002196928,40.8102755079046,38.7622314771447
"Michigan",36.1321510171396,40.0897564695788,41.0302854118681,41.365252973345,36.8523559226581,35.7252111980045,33.094930631436,32.9380999838158,31.6315561335067,29.8151834437313,26.6265772870662,29.0941155816588,31.5574966036289,33.3695836873406,35.7282586313405,32.3534760684467,35.0507594170344,33.5266162267451,31.8952564928096,31.599066673286,29.5893061115284,31.6495808106775,28.9180275599573,29.335408622427,29.8246821565176,32.7324286003645,32.3960453620238,32.8772267693789,33.2304321848237,32.7268596918755,28.8856087098659,27.9486904634294,27.7975428717686,26.0851254244426,27.5944138721335,25.8987951807228,26.2801604791772,28.3385688223927,30.7375116521357,34.2122638495452,35.7253667328268,36.2053204132004,34.3219519272621,31.7902557508215,30.5792866231351,28.1461494227451,27.3770515057378,11.4508118308456,22.3479967027736,29.0743706075971,35.7011628635253,39.3899107819819,39.0844668555005,39.6604215456674,38.1240652375186
"Georgia",32.5371814010062,37.2528257597019,37.5157343537586,37.7622142612295,36.4257384944242,36.0527720482118,34.4949817612266,33.8911899697749,35.0659979434663,32.096820300087,28.4684862543803,34.1690539514976,35.3576323424031,35.2003551387607,37.6001117868988,32.3729397972553,35.2519185852519,33.4722544955737,29.8267116300158,32.2393145670799,30.8297002036797,30.9525748346959,28.7870049980776,28.9538794441043,29.68232295649,27.4442579717094,30.08426687816,29.2656652103656,29.6744258500979,28.7732316307366,26.1217422793576,25.0330501708137,25.5698711595639,24.5610043364205,26.4115875946324,25.1170812921462,25.6738357732393,25.8600999286224,26.8175043713987,28.6841799372311,29.7035306584461,29.8881043421145,27.9532052501426,26.8132093356903,26.9994918699186,27.0346807355109,26.6342992129723,11.2813695307398,21.3709054814161,27.1909125829995,31.6568172671623,34.0224615587093,34.4773317445507,34.501768835024,31.8147573170174
"North Carolina",31.3059197312201,34.8445498813834,35.2730255594429,36.8417520619006,32.0897689939392,32.4661844793493,28.8987383982659,27.9621935723362,28.1554984160356,26.3238557558945,24.3573244207116,31.7296291239391,32.3556173295027,32.1776019680746,33.8087435763759,30.0893263335764,34.0359270275937,32.7108563927287,29.2217562506002,27.6444770177644,25.4086906746131,28.9733135976871,27.318432613462,29.0473240630552,30.2346731490059,32.880858633976,32.1449858763162,32.4139151987253,32.4081714073281,31.4167352486984,25.8769172743273,25.3312654485532,26.1244086704794,25.1121344417199,28.6939879263392,27.7015260743376,27.7882920493552,28.9899183781659,29.529683177235,31.3459387092633,31.8362157149549,31.4358695351474,29.4010320152806,27.1152930459805,26.4962811875476,25.6931705015986,27.1509659430392,11.8567184322252,21.8971221230123,28.2142243056623,33.2930126654333,34.4552145036797,34.7222995933374,34.2217003287928,31.6526213434891
"New Jersey",36.295190093958,41.9043178215051,42.0426353442131,41.3176758228528,36.5774570697844,36.0006999189567,33.3336597690793,31.6876361991694,31.268597024476,28.5106382978723,25.7605927297985,33.0668983492615,35.2883161892121,38.2635643661763,39.6601539611662,35.9332823792339,37.6983325931608,36.5224993468255,33.2965381902922,33.1124844358643,30.6074222387781,34.1010787748447,32.2868548308577,33.4098427784782,34.5512708913649,36.9671700661314,36.1696416588377,35.3378615101205,35.3932255382922,33.4487800201332,30.6459575437663,27.7442735808135,27.113158585299,26.4272719397037,30.1422143660613,28.6528379302484,28.7505162653968,30.1675575904307,30.9819559859809,32.1338438242499,33.6537953621044,34.4094643443969,32.2564564148722,29.7141224416139,28.6001596659297,26.7950853156522,28.2491466597825,12.0554550934297,24.5250559119172,31.8512184694313,37.9375887207371,39.5634110966346,40.0591488993107,40.4805824048796,38.0964935407329
"Virginia",32.1709989076601,36.5214368733774,37.820642401932,38.1353444577415,35.2537026434335,34.4091305027583,32.3748956729243,31.1906106514106,31.8386378978423,28.5373447695849,25.959061057571,32.300198710803,32.2983148081749,32.4353938150578,34.0220789370847,29.4638522183432,34.5955007294039,34.0519704924569,31.0533937622355,30.383254032726,27.7001289481095,30.2347983142685,27.2064325655433,29.1568357820076,30.1825360578693,32.3240565767622,31.6317023322914,32.2055460479486,32.6449801224206,31.195123491883,28.3912709726943,27.1723256663015,27.9200691709097,26.2086656929932,28.6277244986922,26.6674002232107,27.6388201830324,29.9345211374436,30.9315499366344,33.1039123917897,33.8108241907408,34.8295887281035,32.0172452915815,30.0208453133985,28.1632288597196,26.6887590477021,27.6034065211464,13.1687182778134,25.3452009336595,32.4966974900924,37.519111062575,38.9415765753311,39.4870862131684,40.2649388048956,38.0307663936315
"Washington",37.7774932190959,42.2854398950623,42.6302735227246,41.9217098548922,40.195684066064,38.7361223439452,36.0829053462448,34.556172976068,34.6720971972939,32.7469028442993,29.527809752394,35.3154084798345,35.5991702569012,36.2664902616815,39.0926628259471,33.1783329210981,38.2692177675613,37.5762690759162,35.325139284651,33.937026330182,32.2786901496877,33.1055659597442,29.5712524109147,29.2081698359995,28.9103527464919,30.6058944924545,29.8605920774705,31.1407558868148,31.1302588204575,30.9540402104602,26.92464843883,25.792446467712,25.9094334452284,23.6328600854946,25.5594651653764,23.8370765131328,23.9453089862372,25.6115255278835,27.5894554735273,30.5778741722942,33.0342777194823,34.0008590142811,30.7309216129151,29.6287393746039,28.9341019554651,27.2205909341163,26.5450965108408,10.6213926991979,18.7309667742375,26.7014846932072,32.3411025375865,35.5227990605005,36.5295283128819,37.0186227804244,34.1864577589321
"Massachusetts",39.545585274662,43.600325042622,44.0862060893584,43.043811199635,39.9345361147653,38.1014817857255,33.2614161456917,35.2908088648891,34.1575294235992,31.6762649511739,29.2498593925759,35.9515668103804,39.9368664269326,41.4503791841004,45.5204908308192,41.1260484505533,44.91392260805,43.7202747930244,39.4505779490219,37.4827418175911,35.6537300078291,37.5774167489453,34.4828287760416,35.0456287821298,36.1901866139637,38.1782982519407,39.3928405954755,39.472428034784,39.9978709814775,38.9501044119607,37.3103780399711,34.0922725324953,31.2726268638399,27.3120987806001,28.8787448064727,27.277522056003,28.7977299640279,32.1468662301216,33.413822840951,36.4145727402873,38.2093859160633,40.0648698741215,38.241251265894,35.745379051701,31.9589074716875,27.0088845014807,27.6092787455418,13.1744200948353,25.4683998207082,32.5217544168058,39.0754160849234,42.0404839460214,43.9234695066533,45.0133231823372,43.3457309184993
"Indiana",34.068167828564,41.787305563924,41.1192251283304,41.660922973242,38.1108575056305,37.4181903790316,34.1171162137771,31.2369602885533,32.7023638968481,29.5984652149035,26.4600715137067,32.854745478277,35.5851520879876,36.1584042049591,39.2443115761501,36.0725843735552,39.5763521138987,37.2505939303002,34.237344768057,33.7283831176684,31.066444490731,34.2766447436668,32.2518538287043,34.0474627145671,35.8271650629163,39.1123316796598,38.9509029857518,39.9068294389511,40.5196922027216,39.5525307048423,33.1317009562445,32.6807752476968,33.1699680076237,31.081416608356,34.5498209576087,32.2312696918859,32.0385158259053,33.6996406279553,35.1152003649912,38.4684735448244,40.1381934708592,40.5641517732197,38.0188239284351,36.2463675668013,33.673818483945,30.4464847189032,30.3313723687838,12.9887514303603,24.5289032309469,31.7672646085148,38.4331519590307,41.0534395087786,41.8149153469116,42.2718956328056,40.4252593826053
"Arizona",34.1648510877836,38.4877970968256,41.7380448352602,44.5926574383104,43.2273383209325,44.6584650229062,43.7839472065553,41.6301489921121,40.0434194380643,34.7298907646474,30.1068109835551,32.3637853338795,31.9868003097886,29.5357663583647,29.8783176612201,25.5899408623758,28.6760817695234,28.3790542880227,26.2084145651216,26.5281268623843,25.9574010327022,26.703639609195,25.360812839164,26.0398354696113,25.7287873356101,26.2900003769175,25.8394837513041,27.0019274575083,28.4032039150465,29.605573702396,28.447204968944,29.116747261423,31.9285969864429,31.1787371235354,32.2843866873181,29.534773094853,28.844720009418,28.963915254916,29.4693658777933,33.1195206305799,35.5516999215103,38.7970791698693,37.7094920453075,37.6679331009361,39.8129689368951,41.097353811667,42.9317468187076,18.3520352759222,31.7075159401855,37.3294068153134,40.8536378156115,41.5032906130931,40.565509518477,41.2832598968473,39.0138879433589
