"RegionName","CountyName","StateFullName","City","MSA","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11"
"Oregon",,"Oregon",,,22362,22698,25843,26862,25932,26772,28193,28410,27769,26519,25432,24450,22730,23324,25353,25296,24664,25468,26363,25924,24108,23364,22148,20392,18984,18473,17740,16380,16949,18235,18592,18849,18508,17174,15766,14054,12922,13473,13835,14440,15674,16546,17294,18796,18805,18013,16580,15250,13739,13969,14712,16360,18322,19894,21509,22087,21468,20162,18136
"Pennsylvania",,"Pennsylvania",,,49030,50456,57107,62030,62310,65150,66536,67318,68180,67760,65848,65009,61325,62423,67820,69128,70260,72093,74132,73231,71160,69872,66377,61294,56414,55865,57090,56446,58438,61174,59410,58742,57966,57382,55293,50118,47696,49707,51548,53715,56427,58550,58461,59359,59313,59147,57644,54678,51192,51048,51470,58377,64462,66924,68426,69661,68486,66963,64577
"Rhode Island",,"Rhode Island",,,4264,4378,5901,6102,6241,6567,6702,6476,6300,6434,6240,5733,5388,5388,6026,6520,6892,7171,7396,7514,7366,7199,6760,6214,5631,5659,5856,5904,6246,6502,6286,6159,5952,5710,5266,4770,4358,4512,4746,4972,5412,5436,5319,5426,5426,5339,5046,4584,4156,4211,4530,5098,5736,6038,6237,6275,6130,5994,5636
"South Carolina",,"South Carolina",,,36793,39606,41226,42504,41260,43228,43588,42544,42297,40166,39212,38896,37266,37590,40302,40555,40436,40724,41353,42312,40950,39593,38626,35677,33923,35302,35936,35350,35598,35690,35120,34469,33687,32738,32196,30878,29554,30678,32409,33199,33807,34300,33752,33905,33649,33842,33528,32775,31714,33568,34886,37538,39930,39998,39746,38563,38886,37671,37366
"South Dakota",,"South Dakota",,,2779,2930,3402,3574,3540,3682,3803,3806,3725,3648,3465,3251,3514,2855,3350,3498,3656,3869,4130,4173,3984,3846,3308,3030,2806,2813,2967,2997,3187,3346,3348,3407,3193,3009,2776,2696,2264,2394,2585,2654,2914,3108,3195,3260,3160,2964,2744,2526,2295,2367,2494,2850,3539,3484,3286,3170,3172,3131,2984
"Tennessee",,"Tennessee",,,44358,46307,48058,50788,50082,53769,55046,55509,55892,54842,53458,51279,46774,53155,55414,57480,57728,59334,56508,58864,56721,55248,53038,49922,46932,47006,47380,47382,48122,49782,49184,49640,48896,46743,45466,43286,40952,42454,43678,44709,46601,47524,47453,47362,46870,46303,45209,43518,39686,40216,41437,44393,46343,49894,50192,50350,49004,48595,46674
"Texas",,"Texas",,,126779,131044,138418,146324,144377,144883,153004,153940,151899,145472,141640,131886,131114,133948,144696,147875,145651,146060,146770,141559,133900,129852,123579,114200,106274,107938,109704,106771,108538,110709,109978,107711,103091,98269,94922,88046,82082,85948,90158,91182,92693,92246,91713,92237,88122,84346,80954,75619,69886,73706,76202,79980,82448,86672,88982,89770,87045,83687,81517
"Utah",,"Utah",,,12889,12566,13453,14059,13824,14610,14067,13854,14755,14544,13870,14534,14264,15134,16234,15789,15484,15538,15656,14892,14018,13522,12800,11917,11443,10858,10544,9533,9584,9956,9883,9887,9656,9105,8604,7752,7287,7633,7996,8187,8907,9406,9616,10237,10282,10257,10006,9492,9223,9570,10319,11587,12631,13622,14092,13890,13681,13353,12563
"Vermont",,"Vermont",,,2850,2926,3139,3268,3264,3618,3948,4044,4005,3796,3559,3344,3186,3372,3422,3574,3714,4126,4347,4389,4266,4125,3798,3512,3370,3373,3454,3562,3874,4150,4265,4352,4388,4309,4114,3926,3839,3835,3911,4054,4374,4773,4926,5134,5228,5212,5005,4750,4603,4500,5020,5752,6782,7190,7746,8136,8094,7764,7300
"Virginia",,"Virginia",,,39656,40682,42552,46122,46420,48373,49924,48190,50248,49048,47080,46609,43018,44858,49345,48728,50182,52506,51852,51513,49974,47909,45402,40802,37309,37687,38526,38098,39052,39791,38358,37499,35472,34261,32628,30047,28201,30012,31652,32930,35274,36049,36023,36714,36890,37179,36440,34142,31701,33060,35694,39721,44062,46378,47021,46925,46918,45829,43178
"Washington",,"Washington",,,36077,36618,43108,45680,44168,46273,48130,48156,47683,45366,42939,39148,38462,38753,41860,41969,42056,43698,45318,44699,42553,40796,38196,34577,31738,29854,28137,26272,27379,28498,28938,29302,29067,26976,24836,21396,19790,21567,22198,22571,25058,26434,28088,29588,29312,28142,25961,23672,21743,22111,23453,26596,29753,32050,32902,33908,33223,31198,27810
"West Virginia",,"West Virginia",,,6204,6324,6359,6806,6624,6665,6586,6332,6432,6298,5934,5898,5591,6004,6187,6144,6324,6379,6616,6853,6708,6004,6399,5788,5344,5531,5688,5564,5468,5766,6034,6159,6096,5872,5656,5216,4915,5204,5409,5538,5862,6200,6335,6529,6562,6538,6348,6232,6109,6176,6332,7036,7838,8430,8726,8800,8770,8630,8418
"Wisconsin",,"Wisconsin",,,28570,29510,33221,35964,36347,36359,37252,37140,37819,36762,35370,34204,32297,34061,37468,39046,39353,44907,45966,46792,45451,43600,40717,36930,34327,34878,36416,37014,37807,39460,39461,38890,37827,36097,33690,30923,28858,30122,31570,33360,35166,36864,37180,38102,38044,36969,35086,32430,30020,31072,32867,36222,40705,42769,44061,44546,43686,41570,39023
"Wyoming",,"Wyoming",,,1681,1781,1904,2092,2080,2194,2347,2404,2414,2324,2208,2025,1917,2016,2582,2616,2708,3070,3278,3344,3292,3188,2998,2633,2462,2594,2568,2461,2606,2788,2894,2990,2928,2746,2664,2436,2275,2383,2509,2536,2669,2858,2976,3086,3037,2870,2774,2637,2507,2557,2697,3091,3407,3616,3640,3178,3106,2904,2929
