"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-11-30,"New York","NY","New York","Queens",0,548500,0.00494686698424331,0.0170591507509735,0.0908910103420843,0.0337149372099581,0.0340049877189206,"2014-11","2014-Q4",548500,0,"2014-11"
2014-11-30,"Los Angeles","CA","Los Angeles","Los Angeles",1,525700,0.0061244019138756,0.0168278529980658,0.0792445083145145,0.048679282917784,0.00773806436379054,"2006-08","2006-Q3",602000,-0.126744186046512,"2005-05"
2014-11-30,"Chicago","IL","Chicago","Cook",2,185600,0.00270124257158293,0.0136537411250683,0.00924415443175639,-0.0250492285617984,-0.015281704084991,"2006-12","2006-Q4",245000,-0.242448979591837,"2003-03"
2014-11-30,"Philadelphia","PA","Philadelphia","Philadelphia",3,117200,0.00773860705073087,0.0253718285214348,0.0831792975970425,-0.000851065063182777,0.0298911751132012,"2007-09","2007-Q3",122800,-0.0456026058631922,"2006-08"
2014-11-30,"Phoenix","AZ","Phoenix","Maricopa",4,169900,0.00771055753262159,0.0241109101868596,0.0247285886610374,0.0411138563887679,0.00409300546560787,"2006-06","2006-Q2",246400,-0.310470779220779,"2005-01"
2014-11-30,"Las Vegas","NV","Las Vegas","Clark",5,178600,0.00619718309859155,0.0211549456832476,0.112079701120797,0.0558559360232114,-0.039735499207782,"2006-07","2006-Q3",299700,-0.404070737404071,"2003-12"
2014-11-30,"San Diego","CA","San Diego","San Diego",6,489500,0.0041025641025641,0.0105284888521883,0.0259903584154265,0.0418363578371452,-0.00718475006274655,"2005-10","2005-Q4",536200,-0.087094367773219,"2004-06"
2014-11-30,"San Jose","CA","San Jose","Santa Clara",7,734700,0.00671416826527816,0.0221202003338898,0.105809753160747,0.0761216988276316,0.022994153227383,"2014-11","2014-Q4",734700,0,"2014-11"
2014-11-30,"Jacksonville","FL","Jacksonville","Duval",8,123700,0.0032441200324412,0.0131040131040131,0.0869947275922671,-0.0152802502771162,-0.00965301358247306,"2006-11","2006-Q4",179200,-0.309709821428571,"2004-03"
2014-11-30,"San Francisco","CA","San Francisco","San Francisco",9,993300,0.00852878464818763,0.0252890173410405,0.121359223300971,0.0752773000935605,0.0356147790728429,"2014-11","2014-Q4",993300,0,"2014-11"
2014-11-30,"Columbus","OH","Columbus","Franklin",10,102700,0.0029296875,0.00983284169124877,0.0394736842105263,-0.0132807051979043,-0.0136239576845184,"2006-04","2006-Q2",120900,-0.150537634408602,"2002-01"
2014-11-30,"Detroit","MI","Detroit","Wayne",11,41100,-0.00242718446601942,0,0.0123152709359606,-0.0368985669354315,-0.0621808885738422,"2005-12","2005-Q4",78800,-0.478426395939086,
2014-11-30,"Charlotte","NC","Charlotte","Mecklenburg",12,155300,0.00517799352750809,0.0130463144161774,0.0673539518900344,0.00994890890196087,0.0102093375771408,"2007-11","2007-Q4",161100,-0.0360024829298572,"2007-02"
2014-11-30,"Memphis","TN","Memphis","Shelby",13,66500,0,-0.00597907324364723,-0.00449101796407186,-0.0240302844710881,-0.0202547905037668,"2007-03","2007-Q1",89100,-0.25364758698092,"1998-08"
2014-11-30,"Baltimore","MD","Baltimore","Baltimore City",14,108900,0,0.00276243093922652,0.0655577299412916,-0.0223017567680593,0.0322276049038381,"2007-12","2007-Q4",130900,-0.168067226890756,"2006-02"
2014-11-30,"Boston","MA","Boston","Suffolk",15,441000,0.00593065693430657,0.0133272058823529,0.0585693710993759,0.0508132606591403,0.0175717410983594,"2014-11","2014-Q4",441000,0,"2014-11"
2014-11-30,"Seattle","WA","Seattle","King",16,468900,0.0081702859600086,0.0182410423452769,0.0606197692829677,0.0389784677771134,0.030060725439861,"2014-11","2014-Q4",468900,0,"2014-11"
2014-11-30,"Washington","DC","Washington","District of Columbia",17,469900,0.00448909790508764,0.0127155172413793,0.059287646528404,0.060808834650109,0.0334961770108768,"2014-11","2014-Q4",469900,0,"2014-11"
2014-11-30,"Denver","CO","Denver","Denver",18,284900,0.0106420716566158,0.0318725099601594,0.111587982832618,0.0588029835023165,0.0286936061422887,"2014-11","2014-Q4",284900,0,"2014-11"
2014-11-30,"Nashville","TN","Nashville","Davidson",19,167300,0.00661853188929001,0.0226161369193154,0.0856586632057106,0.0238515556316041,0.0236719320718688,"2014-11","2014-Q4",167300,0,"2014-11"
2014-11-30,"Milwaukee","WI","Milwaukee","Milwaukee",20,93000,0.00323624595469256,0.00431965442764579,-0.00852878464818763,-0.0427399867149312,-0.0278869374902474,"2006-05","2006-Q2",137400,-0.323144104803493,"2002-05"
2014-11-30,"Portland","OR","Portland","Multnomah",21,304700,0.00727272727272727,0.0160053351117039,0.0460006865774116,0.0291688024063466,0.0361122137131633,"2014-11","2014-Q4",304700,0,"2014-11"
2014-11-30,"Oklahoma City","OK","Oklahoma City","Oklahoma",22,120900,0.00498753117206983,0.0108695652173913,0.0449438202247191,0.0222557659766454,0.0252683237534785,"2014-11","2014-Q4",120900,0,"2014-11"
2014-11-30,"Tucson","AZ","Tucson","Pima",23,135800,0.00295420974889217,0.0126771066368382,0.0502706883217324,-0.0131606205913886,-0.0065336152383253,"2006-05","2006-Q2",196000,-0.307142857142857,"2004-08"
2014-11-30,"Omaha","NE","Omaha","Douglas",24,130500,0.0046189376443418,0.00230414746543779,0.0251374705420267,0.00371930307742674,0.00248575650234151,"2006-09","2006-Q3",133300,-0.0210052513128282,"2005-12"
