"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-11-30,"Wichita","KS","Wichita","Sedgwick",49,989,0.00712830957230143,0.00918367346938776,0.0195876288659794,110407
2014-11-30,"Arlington","TX","Dallas-Fort Worth","Tarrant",50,1338,0.00299850074962519,0.00828937452901281,0.0284396617986164,86808
2014-11-30,"Bakersfield","CA","Bakersfield","Kern",51,1410,0.020260492040521,0.0344827586206897,0.0143884892086331,88107
2014-11-30,"Tampa","FL","Tampa","Hillsborough",52,1224,0.00823723228995058,0.0099009900990099,0.0259849119865884,108108
2014-11-30,"Anaheim","CA","Los Angeles","Orange",53,2386,-0.00666111573688593,-0.00913621262458472,0.0262365591397849,55039
2014-11-30,"Aurora","CO","Denver","Arapahoe",54,1532,0.013898080741231,0.037237643872715,0.0958512160228898,97264
2014-11-30,"Santa Ana","CA","Los Angeles","Orange",55,2279,0.00440722785368004,0.0155971479500891,0.0340290381125227,41602
2014-11-30,"Saint Louis","MO","St. Louis","Saint Louis City",56,862,-0.00919540229885057,0.0117370892018779,0.0435835351089588,81887
2014-11-30,"Marietta","GA","Atlanta","Cobb",57,1476,0.00613496932515337,0.020746887966805,0.0379746835443038,90877
2014-11-30,"Pittsburgh","PA","Pittsburgh","Allegheny",58,1028,-0.0228136882129278,-0.0283553875236295,0.0641821946169772,89202
2014-11-30,"Corpus Christi","TX","Corpus Christi","Nueces",59,1399,-0.0154820548909219,-0.0365013774104683,0.0455904334828102,79377
2014-11-30,"Riverside","CA","Riverside","Riverside",60,1654,0.00486026731470231,0.00303214069132808,0.0254184748915065,63141
2014-11-30,"Cincinnati","OH","Cincinnati","Hamilton",61,936,-0.00847457627118644,0,0.0576271186440678,64097
2014-11-30,"Anchorage","AK","Anchorage","Anchorage",62,2036,-0.00537371763556424,0.0014756517461879,0.0329781836631152,69414
2014-11-30,"Saint Paul","MN","Minneapolis-St Paul","Ramsey",63,1338,0.00149700598802395,0.00828937452901281,0.0324074074074074,64949
2014-11-30,"Silver Spring","MD","Washington","Montgomery",64,2193,-0.00272851296043656,0.00504124656278643,0.0358998582900331,76372
2014-11-30,"Toledo","OH","Toledo","Lucas",65,767,0.00261437908496732,-0.00776196636481242,0.0172413793103448,89698
2014-11-30,"Tallahassee","FL","Tallahassee","Leon",66,1215,0.0116569525395504,0.0167364016736402,-0.00164338537387017,73275
2014-11-30,"Stockton","CA","Stockton","San Joaquin",67,1266,0.00396510705789056,0.0168674698795181,0.0603015075376884,67786
2014-11-30,"Newark","NJ","New York","Essex",68,1482,-0.0133155792276964,-0.00536912751677852,0.0298818624044475,31646
2014-11-30,"Lexington","KY","Lexington","Fayette",69,1078,0.0315789473684211,0.0737051792828685,-0.026196928635953,79050
2014-11-30,"Modesto","CA","Modesto","Stanislaus",70,1166,0.00430663221360896,0.0121527777777778,0.0476190476190476,64159
2014-11-30,"Buffalo","NY","Buffalo","Erie",71,830,0.0259579728059332,0.0453400503778338,0.0807291666666667,37543
2014-11-30,"Durham","NC","Durham","Durham",72,1232,0.0065359477124183,0.00489396411092985,0.0318257956448911,72245
2014-11-30,"Plano","TX","Dallas-Fort Worth","Collin",73,1893,0.0101387406616862,0.0193861066235864,0.0670800450958286,69360
2014-11-30,"Chandler","AZ","Phoenix","Maricopa",74,1389,0.00216450216450216,0.0116533139111435,0.075077399380805,84843
2014-11-30,"Pensacola","FL","Pensacola","Escambia",75,950,0.0160427807486631,0.027027027027027,0.072234762979684,86416
2014-11-30,"Henderson","NV","Las Vegas","Clark",76,1308,0.00306748466257669,0.005380476556495,0.00848111025443331,91219
2014-11-30,"Saint Petersburg","FL","Tampa","Pinellas",77,1217,0.00828500414250207,0.0218303946263644,0.0518582541054451,92251
2014-11-30,"Mobile","AL","Mobile","Mobile",78,904,-0.0022075055187638,-0.0055005500550055,0.0168728908886389,80113
2014-11-30,"Orlando","FL","Orlando","Orange",79,1185,0.00253807106598985,0.00679694137638063,0.00936967632027257,72076
2014-11-30,"Lubbock","TX","Lubbock","Lubbock",80,1198,0.0195744680851064,0.0435540069686411,0.0490367775831874,68649
2014-11-30,"Jersey City","NJ","New York","Hudson",81,2166,0.00697350069735007,0.043855421686747,0.102290076335878,38497
2014-11-30,"Glendale","AZ","Phoenix","Maricopa",82,1159,0.00346320346320346,0.00958188153310104,0.0771375464684015,66656
2014-11-30,"Greensboro","NC","Greensboro","Guilford",83,935,0.00107066381156317,-0.00213447171824973,0.0119047619047619,81308
2014-11-30,"Louisville","KY","Louisville/Jefferson County","Jefferson",84,868,-0.0034443168771527,-0.0113895216400911,0.0445246690734055,79525
2014-11-30,"Norfolk","VA","Virginia Beach","Norfolk City",85,1264,0.0039714058776807,0.00556881463802705,-0.014809041309431,50309
2014-11-30,"Corona","CA","Riverside","Riverside",86,2144,0.000466635557629491,0.000466635557629491,0.022412970910825,58990
2014-11-30,"Chula Vista","CA","San Diego","San Diego",87,2221,0.00543232231779086,0.0109239872553482,0.02776492364646,53280
2014-11-30,"Lincoln","NE","Lincoln","Lancaster",88,1131,0.00533333333333333,0.0309936189608022,0.0948693126815102,74998
2014-11-30,"Fayetteville","NC","Fayetteville","Cumberland",89,866,0.00464037122969838,0.00115606936416185,-0.00345224395857307,74575
2014-11-30,"Hialeah","FL","Miami-Fort Lauderdale","Miami-Dade",90,1639,0.00244648318042813,0.0111042566317088,0.0250156347717323,47910
2014-11-30,"Fort Wayne","IN","Fort Wayne","Allen",91,841,-0.00473372781065089,-0.00237247924080664,-0.0232288037166086,71076
2014-11-30,"Lawrenceville","GA","Atlanta","Gwinnett",92,1260,0.00318471337579618,0.0120481927710843,0.0387469084913438,65686
2014-11-30,"Town of Madison","WI","Madison","Dane",93,1420,-0.00629811056682995,0.00282485875706215,0.0923076923076923,68711
2014-11-30,"Fort Myers","FL","Fort Myers","Lee",94,1609,0.00751408891671885,0.0145018915510719,0.151753758052971,98496
2014-11-30,"San Bernardino","CA","Riverside","San Bernardino",95,1279,-0.00078125,-0.00621600621600622,-0.0169100691775557,43947
2014-11-30,"Garland","TX","Dallas-Fort Worth","Dallas",96,1267,0.00795544948289578,0.0209508460918614,0.032599837000815,61187
2014-11-30,"Winston-Salem","NC","Winston-Salem","Forsyth",97,957,-0.003125,-0.00416233090530697,-0.0254582484725051,72419
2014-11-30,"Chesapeake","VA","Virginia Beach","Chesapeake City",98,1617,0.00559701492537313,0.0144291091593476,0.0189035916824197,67240
2014-11-30,"Birmingham","AL","Birmingham","Jefferson",99,750,0.00942126514131898,0.0107816711590297,0.00671140939597316,76380
2014-11-30,"Fontana","CA","Riverside","San Bernardino",100,1726,0.00465657741559953,0.012316715542522,0.0473300970873786,45721
2014-11-30,"Bradenton","FL","Sarasota","Manatee",101,1531,-0.000652741514360313,0.0186294078509647,0.0372628726287263,75075
2014-11-30,"Knoxville","TN","Knoxville","Knox",102,929,0.00107758620689655,-0.00214822771213749,-0.00641711229946524,67986
2014-11-30,"Laredo","TX","Laredo","Webb",103,1156,0.0087260034904014,0.00609225413402959,0.0433212996389892,48127
2014-11-30,"North Las Vegas","NV","Las Vegas","Clark",104,1135,-0.000880281690140845,0.00176522506619594,0.0206834532374101,61815
2014-11-30,"Reno","NV","Reno","Washoe",105,1349,0.00446760982874162,0.00596569724086503,0.0457364341085271,62178
2014-11-30,"Springfield","MO","Springfield","Greene",106,799,-0.0049813200498132,-0.0049813200498132,0.0113924050632911,68703
2014-11-30,"Montgomery","AL","Montgomery","Montgomery",107,852,0.0203592814371257,0.0339805825242718,0.0377588306942753,38945
2014-11-30,"Scottsdale","AZ","Phoenix","Maricopa",108,1927,0.000519210799584631,0.0115485564304462,0.0652294085129906,104616
2014-11-30,"Santa Rosa","CA","Santa Rosa","Sonoma",109,2132,0.0118652112007594,0.0344492964580301,0.133439659755449,51032
2014-11-30,"Fremont","CA","San Francisco","Alameda",110,2731,-0.00255661066471877,0.00220183486238532,0.118345618345618,55680
2014-11-30,"Irving","TX","Dallas-Fort Worth","Dallas",111,1324,0.00531511009870919,0.00837776085300838,0.0263565891472868,37902
2014-11-30,"Oxnard","CA","Ventura","Ventura",112,2229,-0.00179131213613972,0.0164158686730506,0.0464788732394366,36964
2014-11-30,"Rochester","NY","Rochester","Monroe",113,923,0.00654307524536532,0.0232815964523282,0.0142857142857143,41092
2014-11-30,"Greenville","SC","Greenville","Greenville",114,1154,-0.00944206008583691,-0.00859106529209622,0.103250478011472,62137
2014-11-30,"Gilbert","AZ","Phoenix","Maricopa",115,1460,0.00205902539464653,0.0117810117810118,0.0814814814814815,69593
2014-11-30,"Boca Raton","FL","Miami-Fort Lauderdale","Palm Beach",116,2145,-0.00232558139534884,0.00421348314606742,0.0655737704918033,93399
2014-11-30,"Arlington","VA","Washington","Arlington",117,2812,-0.00741263678079774,-0.0181564245810056,0.0118747750989565,56245
2014-11-30,"Richmond","VA","Richmond","Richmond City",118,1115,0.000897666068222621,0.00996376811594203,0.0248161764705882,55732
2014-11-30,"Grand Rapids Township","MI","Grand Rapids","Kent",119,1583,0.0134443021766965,0.0407626561472715,0.200151630022744,5604
2014-11-30,"Ocala","FL","Ocala","Marion",120,908,-0.0011001100110011,-0.0021978021978022,0.0460829493087558,66723
2014-11-30,"Irvine","CA","Los Angeles","Orange",121,3008,-0.00132802124833997,0.00669344042838019,0.0473537604456824,54827
2014-11-30,"Spokane","WA","Spokane","Spokane",122,949,0,0.0063626723223754,0.0160599571734475,63599
2014-11-30,"Des Moines","IA","Des Moines","Polk",123,1105,0,0,0.0676328502415459,61603
2014-11-30,"Oceanside","CA","San Diego","San Diego",124,2161,0.00652072659524919,0.0155075187969925,0.0640078778926637,46719
2014-11-30,"Gainesville","FL","Gainesville","Alachua",125,1167,0.0077720207253886,0.00343938091143594,-0.0135249366018597,48808
2014-11-30,"Tacoma","WA","Seattle","Pierce",126,1342,0.00599700149925038,0.0158970476911431,0.020532319391635,57298
2014-11-30,"Akron","OH","Akron","Summit",127,744,-0.0184696569920844,-0.0261780104712042,0.0276243093922652,65104
2014-11-30,"Augusta","GA","Augusta","Richmond",128,808,0.0163522012578616,0.0332480818414322,0.00248138957816377,56456
2014-11-30,"Woodbridge","VA","Washington","Prince William",129,1796,0.00335195530726257,0.00503637381085618,0.00335195530726257,56251
2014-11-30,"Huntington Beach","CA","Los Angeles","Orange",130,2874,0.00209205020920502,0.00454386578119539,0.0500548045305079,53221
2014-11-30,"Boise","ID","Boise City","Ada",131,1127,0.00266903914590747,0.00985663082437276,0.0692599620493359,66713
2014-11-30,"Glendale","CA","Los Angeles","Los Angeles",132,2657,0.0033987915407855,0.00949848024316109,0.0705076551168413,32715
2014-11-30,"Moreno Valley","CA","Riverside","Riverside",133,1513,0.00732356857523302,0.0174848688634835,0.0278532608695652,43734
2014-11-30,"Aurora","IL","Chicago","Kane",134,1485,-0.0126329787234043,-0.0178571428571429,-0.0165562913907285,48023
2014-11-30,"Rockford","IL","Rockford","Winnebago",135,859,0.0105882352941176,-0.00922722029988466,-0.0693391115926327,52757
2014-11-30,"Little Rock","AR","Little Rock","Pulaski",136,1055,0.0183397683397683,0.00571973307912297,0.0282651072124756,62236
2014-11-30,"Grand Rapids","MI","Grand Rapids","Kent",137,1097,-0.00634057971014493,-0.00634057971014493,0.136787564766839,65809
2014-11-30,"Salt Lake City","UT","Salt Lake City","Salt Lake",138,1344,0.00825206301575394,0.0105263157894737,0.0151057401812689,45566
2014-11-30,"Salinas","CA","Salinas","Monterey",139,1906,0.0165333333333333,0.0484048404840484,0.0683856502242152,31364
2014-11-30,"Brownsville","TX","Brownsville","Cameron",140,828,0.0122249388753056,-0.010752688172043,-0.00719424460431655,42396
2014-11-30,"Shreveport","LA","Shreveport","Caddo",141,910,0.0247747747747748,0.0411899313501144,-0.0540540540540541,65380
2014-11-30,"Amarillo","TX","Amarillo","Potter",142,1135,-0.0043859649122807,-0.00175901495162709,0.0422405876951331,47804
2014-11-30,"Worcester","MA","Worcester","Worcester",143,1392,0.00432900432900433,0.0160583941605839,0.00650759219088937,30199
2014-11-30,"Lancaster","CA","Los Angeles","Los Angeles",144,1377,-0.0150214592274678,-0.0178316690442225,-0.0316455696202532,44218
2014-11-30,"Evansville","IN","Evansville","Vanderburgh",145,855,-0.0034965034965035,-0.0034965034965035,0.0781841109709962,60814
2014-11-30,"Port Saint Lucie","FL","Port St. Lucie","Saint Lucie",146,1278,0.00471698113207547,0.0126782884310618,0.0553261767134599,64872
2014-11-30,"Huntsville","AL","Huntsville","Madison",147,1011,-0.00394088669950739,-0.0117302052785924,0.0150602409638554,56222
2014-11-30,"Fort Collins","CO","Fort Collins","Larimer",148,1609,0.0132241813602015,0.0373952288845906,0.0842318059299191,53463
2014-11-30,"Providence","RI","Providence","Providence",149,1405,0.00572655690765927,0.03690036900369,0.0967993754879001,17979
2014-11-30,"Yonkers","NY","New York","Westchester",150,2628,0.00689655172413793,0.0482648583964898,0.0665584415584416,16171
2014-11-30,"Garden Grove","CA","Los Angeles","Orange",151,2340,0.000855431993156544,0.00386100386100386,0.0335689045936396,31180
2014-11-30,"Newport News","VA","Virginia Beach","Newport News City",152,1225,0.00657354149548069,0.00327600327600328,0.0115606936416185,32721
2014-11-30,"Overland Park","KS","Kansas City","Johnson",153,1801,0.010662177328844,0.0163656884875846,0.0157924421883813,46264
2014-11-30,"Cape Coral","FL","Fort Myers","Lee",154,1445,0.0119047619047619,0.0255500354861604,0.148648648648649,77517
2014-11-30,"Columbus","GA","Columbus","Muscogee",155,849,0.0328467153284672,0.0639097744360902,0.00592417061611374,52254
2014-11-30,"Ontario","CA","Riverside","San Bernardino",156,1738,0.00404390525707683,0.00812064965197216,0.0558930741190765,31114
2014-11-30,"Grand Prairie","TX","Dallas-Fort Worth","Dallas",157,1323,0.00075642965204236,0.00684931506849315,0.03359375,41100
2014-11-30,"Palmdale","CA","Los Angeles","Los Angeles",158,1471,-0.0047361299052774,-0.004062288422478,0.000680272108843537,43335
2014-11-30,"Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",159,1856,0.00161899622234215,-0.00268672756582483,0.0345596432552954,62256
2014-11-30,"Jackson","MS","Jackson","Hinds",160,787,-0.0137844611528822,-0.00881612090680101,-0.0540865384615385,53015
2014-11-30,"Chattanooga","TN","Chattanooga","Hamilton",161,1087,0.0177902621722846,0.0342530922930542,0.0615234375,49474
2014-11-30,"Roanoke","VA","Roanoke","Roanoke City",162,1006,0.0120724346076459,0.0275791624106231,-0.0308285163776493,58693
2014-11-30,"Santa Clarita","CA","Los Angeles","Los Angeles",163,2340,0.0060189165950129,0.0107991360691145,0.0358565737051793,47597
2014-11-30,"Rancho Cucamonga","CA","Riverside","San Bernardino",164,2041,0.00294840294840295,0.00641025641025641,0.0266599597585513,42232
2014-11-30,"Killeen","TX","Killeen","Bell",165,941,-0.0177453027139875,-0.0248704663212435,0.0140086206896552,34822
2014-11-30,"Sioux Falls","SD","Sioux Falls","Minnehaha",166,1129,-0.0216637781629116,-0.0528523489932886,-0.0375106564364876,39347
2014-11-30,"Topeka","KS","Topeka","Shawnee",167,924,0.00216919739696312,0.0165016501650165,-0.0375,47216
2014-11-30,"Naperville","IL","Chicago","Du Page",168,2283,0.00263504611330698,0.00307557117750439,0.0458085203847916,49697
2014-11-30,"El Cajon","CA","San Diego","San Diego",169,2146,0.00609470229723394,0.0113100848256362,0.0437743190661479,31891
2014-11-30,"Fredericksburg","VA","Washington","Spotsylvania",170,1518,-0.0019723865877712,0.00529801324503311,0.0215343203230148,54731
2014-11-30,"Tempe","AZ","Phoenix","Maricopa",171,1315,0.00535168195718654,0.0162287480680062,0.0587761674718196,42790
2014-11-30,"Vancouver","WA","Portland","Clark",172,1392,0.0101596516690856,0.0273062730627306,0.0489826676714393,42188
2014-11-30,"Murfreesboro","TN","Nashville","Rutherford",173,1275,0.00472813238770686,0.02491961414791,0.111595466434176,52781
